txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
aa6e3aa7478e8b06cb9818abfaac4ddec200388a97b7f4e4ee1bfbdc1df15238,2017-05-07 20:41:57,0.02023,0,,0.015280000000000626,161,1,0.006211180124223602,162,5.015280000000001,0.17516134,3.745e-05,0.02300463,0.031150807453416154,0.0007151367077659009,5,5,5,5.0,5.0,0.0
44a4e1c1e8e4e759837639c4049e2e06c6e45e01a4f9b3ec91e1b0a89c0ff93a,2017-05-10 13:47:30,0,0.00151649,234333.0,0.06692971000003922,1,1457,1457.0,1458,21.63189902,21.63189902,21.63189902,21.63189902,21.63189902,0.0,21.56496930999996,19.22216128,0.00060086,0.00166681,0.014800939814687716,0.2533821223955221
bec8043a0edf17cc867239f1d80c7f747117744faac4587a6c29dba0d70423ff,2017-05-11 18:31:11,0,0.00079648,103421.0,0.03919387000014751,1,793,793.0,794,80.94085103,80.94085103,80.94085103,80.94085103,80.94085103,0.0,80.90165715999986,80.32961437,0.00060027,0.0006753,0.10201974421185372,8.126852247196755
c406f2db72edb881607dcd0e72136b0e24b1d5666284f12f7a5a9abcc2f15fc2,2017-05-15 11:07:30,0,0.00080788,318979.0,0.0397757899997373,1,865,865.0,866,73.33060107,73.33060107,73.33060107,73.33060107,73.33060107,0.0,73.29082528000026,72.64199391,0.00060018,0.00068441,0.0847292777803468,6.093237152046245
a03266c05ab27f3953813ab25b25569beca882ccf7b3214f71bd40c4f74672a3,2017-05-16 03:52:49,0,0.00079735,60319.0,0.05470644000000924,1,1107,1107.0,1108,11.3754493,11.3754493,11.3754493,11.3754493,11.3754493,0.0,11.32074285999999,10.46708422,0.00060101,0.00070979,0.01022650664859982,0.09886642603530542
5cddfa383ab19451de811bd4c17306e3ae696fb102c9524be8521a242cfe3c49,2017-05-18 12:48:09,0,0.00079103,204920.0,0.0495399299999999,1,911,911.0,912,8.02341324,8.02341324,8.02341324,8.02341324,8.02341324,0.0,7.97387331,7.24605665,0.00060002,0.00070367,0.008752879593852908,0.05755972701859568
17eff6d8ff817e76927c89088da7e678d4dce3066632b35a9894c4ba02e4f671,2017-05-21 01:01:21,0,0.00121715,216792.0,0.04328928000019516,1,796,796.0,797,95.32086673,95.32086673,95.32086673,95.32086673,95.32086673,0.0,95.27757744999981,94.29125517,0.00100002,0.00114169,0.11969544905778896,11.155073059595354
4f8a05eef7ba952b16bfae6752cb7122c230075d288d605a73b1b204b3c9ce06,2017-05-24 06:57:51,0,0.00126539,280590.0,0.06254685999999987,1,770,770.0,771,1.36984466,1.36984466,1.36984466,1.36984466,1.36984466,0.0,1.3072978000000002,0.33319547,0.00100117,0.00122016,0.0016977893506493506,0.0001431915082704723
d381839bf3bc882f11e1321c7c3c1d7be71026e5ec3fca99d931897d9fb73d97,2017-05-27 09:05:13,0,0.0012323,266842.0,0.09036316999997496,1,1006,1006.0,1007,114.03739479,114.03739479,114.03739479,114.03739479,114.03739479,0.0,113.94703162000002,112.66750157,0.00101249,0.00124714,0.11326742705765408,12.605428911380967
b777ddfdeaf62eba0dea360ae92d4573766be4ec4309d5b2b1400099fb2f3b9a,2017-05-30 02:32:08,0,0.00119859,235615.0,0.0778319500000011,1,868,868.0,869,1.60255711,1.60255711,1.60255711,1.60255711,1.60255711,0.0,1.524725159999999,0.44991575,0.00100004,0.00121447,0.0017565958064516129,0.0002317649510246615
