txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
8bd13b8abbe2ec8be643f2300a84493c939bc44608cb8ff4944009c9c26e36eb,2023-08-26 15:23:21,0.09616052,0,,0.00018160000000000398,1,2,2.0,3,0.09616052,0.09616052,0.09616052,0.09616052,0.09616052,0.0,0.09597892,0.09484706,0.00113186,0.04798946,0.04798946,0.0021956346777599997
e1b7777c438f46bbe7b6820d0e6d92fcdff75ddfea3da983a056f3299ff3a2dd,2023-08-28 00:10:23,0,0.0956048,118022.0,0.00012438000000003502,1,22,22.0,23,0.90741508,0.90741508,0.90741508,0.90741508,0.90741508,0.0,0.9072907,0.23101763,0.00122133,0.009803595,0.041240486363636364,0.0035518521594171226
ddfad01f4a094074bbd0bbb023457f4b2a4dbb1485950399e0164015114a42e9,2023-08-28 14:54:23,0.06830999,0,53040.0,0.00018160000000000398,1,2,2.0,3,0.06830999,0.06830999,0.06830999,0.06830999,0.06830999,0.0,0.06812839,0.04695703,0.02117136,0.034064195,0.034064195,0.00016622519433722496
70702b1421b86abe8ff3fde7b7e3caa3445fe72a8eb7ccc154e6ae1a667a8e53,2023-08-29 03:12:36,0,0.05598922,44293.0,0.00032759999999942835,2,44,22.0,46,2.2269704499999996,1.17622554,1.05074491,1.1134852249999998,1.1134852249999998,0.003936347126299224,2.22664285,0.56926681,0.00023128,0.012761715,0.05060551931818182,0.01250325714544298
8ee9e8a78aa29dfea26039424faabb8f1dcb2ebacf4bf1d3ed9ebae1ff745651,2023-08-30 01:45:04,0.0956048,0,81148.0,0.00018160000000000398,1,2,2.0,3,0.0956048,0.0956048,0.0956048,0.0956048,0.0956048,0.0,0.0954232,0.08886933,0.00655387,0.0477116,0.0477116,0.0016939587387529
dba3425b12ba42cbb3d3d86cc998c14cc9b8ace5539090409e0099946b99c9c4,2023-08-31 11:12:27,0.05598922,0,120443.0,0.00018159999999999704,1,2,2.0,3,0.05598922,0.05598922,0.05598922,0.05598922,0.05598922,0.0,0.05580762,0.04375303,0.01205459,0.02790381,0.02790381,0.0002511977746084
bbd0a96b9af5eefd2c8d85c4b772de9a32f5514206ebdb57b736b0bf3825925e,2023-09-10 02:02:03,0,0.09882871,830976.0,0.0005136100000004973,1,68,68.0,69,3.24754758,3.24754758,3.24754758,3.24754758,3.24754758,0.0,3.2470339699999995,1.15531221,0.00056678,0.007479639999999999,0.04775049955882353,0.02154491576391804
29be0113932e4e85f8d75bce45599ccae67ac9240ec7cb4034603ec9923fb68e,2023-09-21 02:49:07,0,0.09324289,953224.0,0.0012109899999996898,1,88,88.0,89,3.94230996,3.94230996,3.94230996,3.94230996,3.94230996,0.0,3.94109897,0.77634521,0.00053783,0.015710540000000002,0.04478521556818182,0.010643093962935453
8810be8720941dbde704767d2ec00292f67ee00b64ab3cb29f593d8b2486a481,2023-09-22 04:14:52,0,0.0939483,91545.0,0.00137171999999941,2,95,47.5,97,3.10988577,2.24620001,0.86368576,1.554942885,1.554942885,0.4778364128632656,3.1085140500000006,0.51861251,0.00055126,0.00832839,0.03272120052631579,0.006130215317779521
86ea28201800394568c590f5a431dacd64078cb0fa5384686fb9b88ec935a680,2023-09-23 01:29:25,0.09324289,0,76473.0,0.0001815999999999901,1,2,2.0,3,0.09324289,0.09324289,0.09324289,0.09324289,0.09324289,0.0,0.09306129,0.07824314,0.01481815,0.046530645,0.046530645,0.001005682339125025
87437fc9e7ff73cf35a570e9295805ad0d3a4ecb9ba85981ca95bee2ea1961c3,2023-09-23 07:35:37,0,0.09661703,21972.0,0.0015439199999995878,3,83,27.666666666666668,86,2.1533623,1.44213405,0.29539195,0.4158363,0.7177874333333333,0.26475681744604385,2.1518183800000004,0.21286049,0.0005516,0.0096363,0.025925522650602408,0.0014979174291175619
0c93c57b1576e08c5d31fc0890a17359b5718a52a5b29b14c0a84e4bcf7353ab,2023-09-24 02:32:45,0,0.09682368,68228.0,0.00115217999999917,1,82,82.0,83,4.58133655,4.58133655,4.58133655,4.58133655,4.58133655,0.0,4.5801843700000004,2.06110504,0.00022722,0.010599295000000002,0.05585590695121952,0.052645512307002304
a0d48f3dcc793eb3ec0084da47f6d9b3bd0f81d498cbaadd5a002cfd1258ec24,2023-09-24 16:31:07,0.0939483,0,50302.0,0.0001815999999999901,1,2,2.0,3,0.0939483,0.0939483,0.0939483,0.0939483,0.0939483,0.0,0.09376670000000001,0.08657979,0.00718691,0.046883350000000004,0.046883350000000004,0.0015758073486736002
6eba2d0ec5af9b76daacd08af2ab86a013518a0676365450cc89cf1023a9cb63,2023-09-25 02:59:01,0,0.0966063,37674.0,0.0006435300000000588,1,45,45.0,46,2.08492125,2.08492125,2.08492125,2.08492125,2.08492125,0.0,2.08427772,1.11632176,0.0002265,0.010614,0.046317282666666675,0.026805974746051564
4e8be9bb80e863a7572fbe6e5a087a7ff3dd72af8ffe8937df3b33a3d0cdcf75,2023-10-07 08:45:16,0,0.07715766,1057575.0,0.0005878799999998741,2,52,26.0,54,1.2304658499999999,1.21306623,0.01739962,0.6152329249999999,0.6152329249999999,0.357404660567223,1.22987797,0.24710716,0.00021667,0.0061645250000000006,0.023651499423076924,0.002326197349771621
