txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
86c265429a575f152eecf20becbda6a12d44d530a1dab905759bbd5a3d80a239,2017-01-31 04:56:09,0,0.06275933,,0.002260050000000291,2,22,11.0,24,9.07206852,9,0.07206852,4.53603426,4.53603426,19.926990127893745,9.06980847,2.88478459,0.0011,0.020396635000000003,0.4122640213636364,0.5291497808476066
b223262c29b21d32572904c014c9f04667359e53e215fa2c2f8f53650f895ad8,2017-01-31 18:09:41,0.25005501,0,47612.0,0.007456999999995162,104,1,0.009615384615384616,105,10.007456999999995,0.54501,0.00030001,0.06051528,0.09622554807692306,0.009599863037058502,10,10,10,10.0,10.0,0.0
cb01643885d42138770250f5f2de1e9ec08b27e241c0c57f7b6b69cbbb9f0160,2017-02-01 08:30:34,0,0.03742981,51653.0,0.0016624500000000098,3,14,4.666666666666667,17,0.1190905,0.1,0.0055905,0.0135,0.039696833333333334,0.0018286626533888892,0.11742804999999999,0.03742981,0.0011,0.002604035,0.008387717857142856,0.0001217763291623597
7a39d068d7b2be4aabecde822b682032ccd0a7b9ee20358efd20c5527f7c2d06,2017-02-01 14:19:17,0,0.00373,20923.0,0.0003819500000000007,2,2,1.0,4,0.01411922,0.01025008,0.00386914,0.00705961,0.00705961,1.0179098820899999e-05,0.01373727,0.01000727,0.00373,0.006868635,0.006868635,9.851029663225002e-06
d3b95a6289ac2b87daa7e0c739459994706c0d26f256f888faeb038f7055397c,2017-02-02 03:03:07,0,0.00306122,45830.0,0.0003522900000003659,1,2,2.0,3,4.46469655,4.46469655,4.46469655,4.46469655,4.46469655,0.0,4.46434426,4.46128304,0.00306122,2.23217213,2.23217213,4.968935449081027
a255c09af2a3660af8c5af74ce13f2e30ce1f6549b594a6641c74709c2b279d5,2017-02-02 08:16:57,0.12029407,0,18830.0,0.007456999999995162,143,1,0.006993006993006993,144,10.007456999999995,2.9011528,0.00010382,0.03199998,0.0699822167832168,0.060675560493772006,10,10,10,10.0,10.0,0.0
36cc36fbedbdeed17eda33087d261e41cb533a325407ba2c81982095b24eac0e,2017-02-02 21:41:51,0,0.02080885,48294.0,0.0004216599999999904,1,6,6.0,7,0.3,0.3,0.3,0.3,0.3,0.0,0.29957834,0.12255549,0.0011,0.025104425,0.049929723333333335,0.002606225555100556
97cd2bdac95d94c3752154f9b1d45a796d9ea2cd514d85d40c4e19d72027ee83,2017-02-03 07:00:35,0,0.0020937,33524.0,0.00031242000000000075,1,2,2.0,3,0.01277226,0.01277226,0.01277226,0.01277226,0.01277226,0.0,0.01245984,0.01036614,0.0020937,0.00622992,0.00622992,1.7108315888399995e-05
dccfac969841a3288c5a08a6de1bcbf14a152af3c49dee91318bba9346d911ea,2017-02-03 08:27:27,0,0.000738,5212.0,0.0005190000000006023,1,2,2.0,3,7.75910757,7.75910757,7.75910757,7.75910757,7.75910757,0.0,7.75858857,7.75785057,0.000738,3.879294285,3.879294285,15.043198855913
0ffd33e3b5391d713c210ba207b2c11b728d2e3da668029e6c973d74dc57277b,2017-02-04 08:39:29,0,0.01972427,87122.0,0.0010842400000008467,1,26,26.0,27,2,2,2,2.0,2.0,0.0,1.9989157599999992,1.10251379,0.001,0.003,0.07688137538461537,0.047663821407266806
96dfd8dc9d88ce526ef91c5f45632ecabeed62a42b46f430c683351f1843c0fa,2017-02-05 14:23:08,0.04818153,0,107019.0,0.007456999999998715,352,1,0.002840909090909091,353,6.007456999999999,0.377,0.00015099,0.010040325,0.017066639204545455,0.0010545959531980684,6,6,6,6.0,6.0,0.0
c8f33db8e39b132fea310c284a6fdc08c852e4d0a28546e955375af766052d55,2017-02-05 20:08:40,0,0.0016809,20732.0,0.00035228999999999816,1,2,2.0,3,0.04447607,0.04447607,0.04447607,0.04447607,0.04447607,0.0,0.04412378,0.04244288,0.0016809,0.02206189,0.02206189,0.0004153847533801001
5613d9f2bfb5a4b012a526a7ad257294bfd51190803d51259d78a420e8307224,2017-02-08 08:05:11,0,0.03953364,215791.0,0.0015898499999997817,3,25,8.333333333333334,28,1.1700857,0.40787687,0.3572,0.40500883,0.3900285666666667,0.0005402283369341551,1.1684958500000002,0.27125434,0.00094173,0.01431515,0.046739834,0.00562729911027188
ed17ce4bf786944630c5066716eac3137206e84e66a2a73af5e05686c17e5b2e,2017-02-09 13:06:58,0.01972427,0,104507.0,0.007457000000004044,129,1,0.007751937984496124,130,10.007457000000004,2.33,5.696e-05,0.02883756,0.07757718604651162,0.057349127036975076,10,10,10,10.0,10.0,0.0
7b24a341a9226c660b6dbffb826228087702c478c0628a3a5dabb723dd2124d5,2017-02-10 09:26:17,0.0087,0,73159.0,0.007456999999998715,204,1,0.004901960784313725,205,4.007456999999999,0.63496493,0.00038149,0.0097568,0.019644397058823527,0.002219774557062098,4,4,4,4.0,4.0,0.0
