txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
0e7439987c85421de4d7fe487190b2128081c2e4431d17c2ceedb69cb9119e60,2022-04-22 07:37:43,0,0.00223936,,4.780999999098867e-05,1,145,145.0,146,24.88387317,24.88387317,24.88387317,24.88387317,24.88387317,0.0,24.88382536000001,2.94056551,0.001,0.00461855,0.1716125886896552,0.4478739725011311
ea5a1bbb6f45cf438a064633298a68ac53bd77807fd8ee68a53a3115b5b31ced,2022-04-22 21:40:50,0,0.00246483,50587.0,4.0450000000413766e-05,1,121,121.0,122,1.49142735,1.49142735,1.49142735,1.49142735,1.49142735,0.0,1.4913868999999995,0.53327892,0.00101468,0.00356316,0.012325511570247931,0.0023807624092300863
f683acc1c5dd1950131562b0dca44005536caa79f848b7589dbc37515dcd758a,2022-04-24 01:23:11,0.00223936,0,99741.0,0.00025839000000000027,2,1,0.5,3,0.00277412,0.00223936,0.00053476,0.00138706,0.00138706,7.264152900000001e-07,0.00251573,0.00251573,0.00251573,0.00251573,0.00251573,0.0
376558ad6c7d1aec97f6075b7d29a2a5eb6e23b5737326a73c5305559577a772,2022-04-25 15:15:15,0.00246483,0,136324.0,0.0001589,1,2,2.0,3,0.00246483,0.00246483,0.00246483,0.00246483,0.00246483,0.0,0.00230593,0.00137199,0.00093394,0.001152965,0.001152965,4.797195062500001e-08
a9dfde4375346afde5de8971785d1f4a9aabb32451a6d5ab8487dd365b96f4d7,2022-04-28 06:52:51,0,0.02804038,229056.0,0.00015603000000075085,2,156,78.0,158,3.5088003199999998,1.94207135,1.56672897,1.7544001599999999,1.7544001599999999,0.035220475556016095,3.508644289999999,1.94126288,0.001,0.00370545,0.02249130955128205,0.023943047251771137
635abb0aff114cfb002bc844e12cc4dd05ba129aa972f90bb9dfc831e25ac2e1,2022-05-07 05:31:16,0.02804038,0,772705.0,0.0001589,1,2,2.0,3,0.02804038,0.02804038,0.02804038,0.02804038,0.02804038,0.0,0.02788148,0.02743646,0.00044502,0.01394074,0.01394074,0.00018213445831839997
86d9a55b2db19ab168f9d3e9177c553d3b90f7233b3bfe8bd80ce3c91afb4f4e,2022-05-09 23:11:56,0,0.00833283,236440.0,0.00026185999999750464,2,172,86.0,174,2.94463645,1.65043739,1.29419906,1.472318225,1.472318225,0.03172643694029723,2.9443745900000025,0.90483943,0.001,0.005916565,0.01711845691860465,0.004890133769461348
c0e00228308dcfbf1facf9ae8b0a31f209350f0ed49a0433a10674e9bceb6c53,2022-05-13 10:57:12,0.00833283,0,301516.0,0.00025065999999999977,2,1,0.5,3,0.01008686,0.00833283,0.00175403,0.00504343,0.00504343,1.0820152359999998e-05,0.0098362,0.0098362,0.0098362,0.0098362,0.0098362,0.0
92c0ed4a6221e7e47a59fb76e78974f336d21a54ff806660ef433413fd8b6a7c,2022-05-30 22:59:36,0,0.00970274,1512144.0,3.5790000001867384e-05,1,107,107.0,108,6.60994025,6.60994025,6.60994025,6.60994025,6.60994025,0.0,6.609904459999998,5.52742932,0.00101178,0.00351174,0.06177480803738317,0.2820563433481475
d680c36dbc81121a1a5226829bbea1e2b9c1be61b10d8605348606be3986e5f9,2022-06-06 02:01:23,0.00970274,0,529307.0,0.0002931099999999992,2,1,0.5,3,0.010285319999999999,0.00970274,0.00058258,0.005142659999999999,0.005142659999999999,2.07943296064e-05,0.00999221,0.00999221,0.00999221,0.00999221,0.00999221,0.0
360cb2c3ec93fbaa671282733e0764c8310359afb1b30b1404598c320b56b7dd,2022-06-10 18:24:23,0,0.05482263,404580.0,1.5080000000278204e-05,1,44,44.0,45,2.64083808,2.64083808,2.64083808,2.64083808,2.64083808,0.0,2.6408229999999997,2.10361859,0.00100005,0.007594305000000001,0.06001870454545454,0.09736207008090146
e3c2f14d4181102de5e4b270e07be249817e268c43d741c4b94ddddbf3bdc7ce,2022-06-11 18:14:41,0,0.05305917,85818.0,1.0810000000471831e-05,1,31,31.0,32,1.98183568,1.98183568,1.98183568,1.98183568,1.98183568,0.0,1.9818248699999996,1.44088234,0.00121486,0.00426287,0.06392983451612903,0.06375116634464938
14d59b01fb67ecf82413ca28a772b3a4b2582e909573d1f19274c4307de0807c,2022-06-25 02:36:46,0.05305917,0,1153325.0,0.00018160000000000398,1,2,2.0,3,0.05305917,0.05305917,0.05305917,0.05305917,0.05305917,0.0,0.05287757,0.05169987,0.0011777,0.026438785,0.026438785,0.0006381224153772251
63b0198005628757faba5d31b462aed9a9f5c8e33c7238162ada929c4aee2611,2022-07-03 04:47:10,0,0.00103929,699024.0,0.0001576600000019468,1,195,195.0,196,4.47812872,4.47812872,4.47812872,4.47812872,4.47812872,0.0,4.477971059999998,2.00286063,0.00101624,0.00504665,0.022963954153846153,0.02061910101403893
fc3f416ebbd04ed918dbad793a82e6a8ce9abf0c92e07a7bd4006a083338b7b6,2022-07-03 07:13:07,0.00103929,0,8757.0,0.0002967799999999995,2,1,0.5,3,0.0028315199999999997,0.00179223,0.00103929,0.0014157599999999998,0.0014157599999999998,1.4172966089999995e-07,0.00253474,0.00253474,0.00253474,0.00253474,0.00253474,0.0
7ae6b609dd74b3760b29960bb6a1b27eb79971c8d4e054acd52518d5c5ea70f4,2022-07-03 22:42:01,0,0.00052567,55734.0,0.00014695999999947418,1,109,109.0,110,4.43232569,4.43232569,4.43232569,4.43232569,4.43232569,0.0,4.43217873,4.01016504,5.028e-05,0.00102626,0.040662190183486234,0.14598865149605159
31db99f4f04f4ed444e4f0eb7f61f7fce8a61681aec4cbb040d74ce86382d334,2022-07-06 19:47:01,0.00052567,0,248700.0,0.00018159999999999997,1,2,2.0,3,0.00052567,0.00052567,0.00052567,0.00052567,0.00052567,0.0,0.00034407000000000003,0.00028483,5.924e-05,0.00017203500000000002,0.00017203500000000002,1.2722712025000002e-08
b07817781209835cbcf38683a5918f69f7d1c4f06b47cc647342d60d39034585,2022-07-10 02:08:42,0,0.00481463,282101.0,0.00014721000000017526,2,147,73.5,149,3.83569783,1.96564963,1.8700482,1.917848915,1.917848915,0.002284908354511219,3.83555062,1.50554067,0.00112395,0.00472187,0.026092181088435376,0.01561107325559152
9276f1151528601b27a0439cb707970a9ac8965e3c4b610752abd24e1864ba64,2022-07-11 00:53:41,0.00481463,0,81899.0,0.0001816000000000005,1,2,2.0,3,0.00481463,0.00481463,0.00481463,0.00481463,0.00481463,0.0,0.00463303,0.00391156,0.00072147,0.002316515,0.002316515,2.5441685520249993e-06
c31b3e9d465b67acf9ba322f5431121b7b74ace168cee06f995a4152f78ab6aa,2022-07-11 20:17:46,0,1.061e-05,69845.0,2.2519999999998964e-05,1,2,2.0,3,0.00652397,0.00652397,0.00652397,0.00652397,0.00652397,0.0,0.006501450000000001,0.00649084,1.061e-05,0.0032507250000000003,0.0032507250000000003,1.0498345213225002e-05
a0f0ef809de05510cc1beddf7b024a1a00efbf6162e0958906b5c047e9fcfa96,2022-07-13 14:04:58,0,2.122e-05,150432.0,1.971000000000004e-05,1,2,2.0,3,0.00321248,0.00321248,0.00321248,0.00321248,0.00321248,0.0,0.00319277,0.00317155,2.122e-05,0.001596385,0.001596385,2.481144777225e-06
f2c64a06a6c42ef2d5ee33633468f61d6684a9328d8b086a5d3f959a976369db,2022-07-14 23:58:55,0,1.061e-05,122037.0,5.349000000000152e-05,1,2,2.0,3,0.01507895,0.01507895,0.01507895,0.01507895,0.01507895,0.0,0.01502546,0.01501485,1.061e-05,0.00751273,0.00751273,5.62818044944e-05
b11113568ce8342784152f202aea32abf0f4596e02ac207eb52ed317d596488b,2022-07-15 03:32:07,0.05482263,0,12792.0,0.0005392000000000174,4,2,0.5,6,0.21798412,0.05509691,0.05311897,0.054884119999999995,0.05449603,6.41535188599998e-07,0.21744491999999999,0.19197782,0.0254671,0.10872245999999999,0.10872245999999999,0.0069314549687296
174297ecd553988fe143b4fdbf52f19dd6d286eea2d390522575a04cbfd4329e,2022-07-15 21:46:11,0,1.061e-05,65644.0,4.364000000000017e-05,1,2,2.0,3,0.00573487,0.00573487,0.00573487,0.00573487,0.00573487,0.0,0.00569123,0.00568062,1.061e-05,0.002845615,0.002845615,8.037253350025e-06
5306d7a19ea9280842a304da386f3abbc4ff7eb574af1eee0edae8b6af839d42,2022-07-17 00:10:38,0,1.061e-05,95067.0,3.6600000000001215e-05,1,2,2.0,3,0.01500365,0.01500365,0.01500365,0.01500365,0.01500365,0.0,0.014967049999999999,0.01495644,1.061e-05,0.0074835249999999996,0.0074835249999999996,5.5844458597224997e-05
c42629e1e21aea89e151d09e2e00102a5ab8dd779758e1d6f96d19f28dd9a2d7,2022-07-17 21:38:17,0,1.061e-05,77259.0,2.814999999999979e-05,1,2,2.0,3,0.00113497,0.00113497,0.00113497,0.00113497,0.00113497,0.0,0.0011068200000000001,0.00109621,1.061e-05,0.0005534100000000001,0.0005534100000000001,2.9463184000000004e-07
26fe1e2d82ad93c9b325d5221fd15003d69122b76d30b4e491ba91225ff7e72e,2022-07-19 22:43:05,0,2.122e-05,176688.0,3.659999999999948e-05,1,2,2.0,3,0.01552971,0.01552971,0.01552971,0.01552971,0.01552971,0.0,0.015493110000000001,0.01547189,2.122e-05,0.0077465550000000005,0.0077465550000000005,5.9680800862225004e-05
32bb7307db76f8b9d69cd7eb2956afdc2fb7ea47f1a012219f89d1151efdf740,2022-07-20 23:21:10,0,1.061e-05,88685.0,3.941000000000014e-05,1,2,2.0,3,0.01307826,0.01307826,0.01307826,0.01307826,0.01307826,0.0,0.01303885,0.01302824,1.061e-05,0.006519425,0.006519425,4.2364672704224996e-05
dac19b51eb1902530570380699b2f626ed9fa8b257212f8e3d54cb2599f514a2,2022-07-21 23:41:32,0,1.061e-05,87622.0,3.8010000000001515e-05,1,2,2.0,3,0.0265184,0.0265184,0.0265184,0.0265184,0.0265184,0.0,0.02648039,0.02646978,1.061e-05,0.013240195,0.013240195,0.000175021919272225
cca9a0efc91cad1a252cf08a779213f31b13268a6ac9349af5d216a946dc16b9,2022-07-22 23:19:51,0,0.02194,85099.0,0.0001501599999995662,1,196,196.0,197,3.66570823,3.66570823,3.66570823,3.66570823,3.66570823,0.0,3.6655580700000003,1.2409634,0.001,0.00427622,0.018701826887755103,0.00804101664171809
e27ca3b6f941bacad9933b93a4b07e88e7ef18a024a4f30bcecac6d8dc52ae41,2022-07-23 03:11:21,0,1.117e-05,13890.0,3.518999999999918e-05,1,2,2.0,3,0.01552285,0.01552285,0.01552285,0.01552285,0.01552285,0.0,0.01548766,0.01547649,1.117e-05,0.00774383,0.00774383,5.979403067560001e-05
0fb6261e51657f3ade04540c812c1e7f086f5c48dbb8263c8afabf74017d37b5,2022-07-24 00:20:57,0,1.117e-05,76176.0,2.5339999999998697e-05,1,2,2.0,3,0.02723863,0.02723863,0.02723863,0.02723863,0.02723863,0.0,0.02721329,0.02720212,1.117e-05,0.013606645,0.013606645,0.000184836940475625
bcdd7d9f10e0cc39c378e217f2c389f2e5f27f2c778de1764b86f5987ce94947,2022-07-25 00:57:53,0,1.117e-05,88616.0,1.8299999999998873e-05,1,2,2.0,3,0.02365745,0.02365745,0.02365745,0.02365745,0.02365745,0.0,0.02363915,0.02362798,1.117e-05,0.011819575,0.011819575,0.000139438428644025
1167f019a6ef0e7b9752f43606bf72b5652e08b25fe05c671281f47383d4c79b,2022-07-25 23:42:04,0,1.117e-05,81851.0,1.6890000000000308e-05,1,2,2.0,3,0.00551825,0.00551825,0.00551825,0.00551825,0.00551825,0.0,0.005501359999999999,0.00549019,1.117e-05,0.0027506799999999997,0.0027506799999999997,7.504915040099999e-06
c50b5760d159c446d1e4185e6879e6637bcff93dfb77bf1313839cbdac6e92ad,2022-07-26 06:59:20,0.02194,0,26236.0,0.00018160000000000398,1,2,2.0,3,0.02194,0.02194,0.02194,0.02194,0.02194,0.0,0.021758399999999997,0.02143918,0.00031922,0.010879199999999999,0.010879199999999999,0.00011151317760039998
9a47a187bcf9258fcabdcd9feb134bcd465b4d7a2685fa1fbc69253788359977,2022-07-26 22:52:36,0,1.117e-05,57196.0,1.970999999999993e-05,1,2,2.0,3,0.00054528,0.00054528,0.00054528,0.00054528,0.00054528,0.0,0.00052557,0.0005144,1.117e-05,0.000262785,0.000262785,6.3310108225e-08
048014495f9fcb0d7d289c2d868259241372d4f63a85cd5af11bfd528a7f1885,2022-07-27 19:53:17,0,1.117e-05,75641.0,1.4079999999999648e-05,1,2,2.0,3,0.03339859,0.03339859,0.03339859,0.03339859,0.03339859,0.0,0.03338451,0.03337334,1.117e-05,0.016692255,0.016692255,0.000278258596777225
d07883ab8b5c164a0c07890c2e2bf1e3a750182d23b9ae4f1ed1e18f7c2d6829,2022-07-29 01:03:54,0,1.117e-05,105037.0,2.1119999999999473e-05,1,2,2.0,3,0.04450642,0.04450642,0.04450642,0.04450642,0.04450642,0.0,0.0444853,0.04447413,1.117e-05,0.02224265,0.02224265,0.0004942387029904
c5a55834e43631575a56e0a99aca6f62b7a101e9297bdaedb5f32c23eebdd1a1,2022-07-29 22:35:01,0,1.117e-05,77467.0,1.971000000000611e-05,1,2,2.0,3,0.0345697,0.0345697,0.0345697,0.0345697,0.0345697,0.0,0.034549989999999996,0.03453882,1.117e-05,0.017274994999999998,0.017274994999999998,0.00029803965363062494
310ba2f961fcac06027988fc856e13aa78ddf1d230c0ea773f1bf49cd463eb5d,2022-07-30 22:02:03,0,1.117e-05,84422.0,1.8299999999998873e-05,1,2,2.0,3,0.016365,0.016365,0.016365,0.016365,0.016365,0.0,0.016346700000000002,0.01633553,1.117e-05,0.008173350000000001,0.008173350000000001,6.662118235240001e-05
93d6cd7584a913762f8cd5c10b64774845326f358ddc1e1201b20a30145a16b0,2022-07-31 22:19:29,0,1.117e-05,87446.0,1.9709999999995703e-05,1,2,2.0,3,0.02802811,0.02802811,0.02802811,0.02802811,0.02802811,0.0,0.028008400000000003,0.02799723,1.117e-05,0.014004200000000001,0.014004200000000001,0.00019580488858090002
b032874c868e4800d29fc7464bf29fa2a48b593d3668909cf13b727be8a80a68,2022-08-01 00:34:22,0,0.00239803,8093.0,0.00018300000000026628,2,184,92.0,186,3.7382585500000003,1.98304735,1.7552112,1.8691292750000001,1.8691292750000001,0.01297732781170564,3.73807555,1.81788816,0.00101072,0.004111115,0.020315627989130437,0.017956674508419118
fe26d66b7f3b587e197be93c9da90488df838898492a58094fc65af15d286f2c,2022-08-01 04:34:07,0.00239803,0,14385.0,0.00018160000000000008,1,2,2.0,3,0.00239803,0.00239803,0.00239803,0.00239803,0.00239803,0.0,0.00221643,0.00159837,0.00061806,0.001108215,0.001108215,2.40251924025e-07
23c2ea4a949141b89a61942c39f7b6d5a7c583e72574a7075e6e85a37fcf074d,2022-08-02 00:23:03,0,1.117e-05,71336.0,1.8300000000000607e-05,1,2,2.0,3,0.00744205,0.00744205,0.00744205,0.00744205,0.00744205,0.0,0.00742375,0.00741258,1.117e-05,0.003711875,0.003711875,1.3695217497025e-05
ca8ec61f7780d0a6a4a76bbc7e6a5213c2bd1403135c5afb8855719bb076d1ae,2022-08-02 23:45:05,0,1.117e-05,84122.0,1.971000000000611e-05,1,2,2.0,3,0.03615676,0.03615676,0.03615676,0.03615676,0.03615676,0.0,0.03613705,0.03612588,1.117e-05,0.018068525,0.018068525,0.00032606806959602496
d24ed25c745326379bdf31df266daef7db01b3ab28b31281ecab027beec3d8e8,2022-08-04 03:16:37,0,1.117e-05,99092.0,2.1119999999999473e-05,1,2,2.0,3,0.04532634,0.04532634,0.04532634,0.04532634,0.04532634,0.0,0.04530522,0.04529405,1.117e-05,0.02265261,0.02265261,0.0005126348052736001
2ff966fbca6c7fe1e81d365e5e2f0c886ad6faffcdfad2963dbf59336950b8fb,2022-08-05 01:39:44,0,1.117e-05,80587.0,2.955999999999792e-05,1,2,2.0,3,0.02869199,0.02869199,0.02869199,0.02869199,0.02869199,0.0,0.028662430000000003,0.02865126,1.117e-05,0.014331215000000001,0.014331215000000001,0.00020506368880202503
a04db8767564f947e6632457dd0a3e2e8d1d953109b24d871132e12ab3d21949,2022-08-06 00:21:41,0,1.098e-05,81717.0,3.5190000000000915e-05,1,2,2.0,3,0.02256154,0.02256154,0.02256154,0.02256154,0.02256154,0.0,0.02252635,0.02251537,1.098e-05,0.011263175,0.011263175,0.000126611892318025
4e0d0829f52c62c610292b56f0aec86a0caf3b3e189ddc6a55665f119f50064e,2022-08-06 21:11:11,0,1.098e-05,74970.0,1.9709999999999823e-05,1,2,2.0,3,0.00158333,0.00158333,0.00158333,0.00158333,0.00158333,0.0,0.0015636200000000002,0.00155264,1.098e-05,0.0007818100000000001,0.0007818100000000001,5.941788889000001e-07
1862cbe7eb4e2df5e917a47856b313448c9847f18f02de23412e0477f5e7e955,2022-08-07 21:52:55,0,1.098e-05,88904.0,2.3930000000005336e-05,1,2,2.0,3,0.05505005,0.05505005,0.05505005,0.05505005,0.05505005,0.0,0.05502612,0.05501514,1.098e-05,0.02751306,0.02751306,0.0007563644043263999
0d689ca1a7cf73e47a8b458411d960c1722c26f4f0c1e1a5e7dbd83af062ab38,2022-08-08 23:05:28,0,1.098e-05,90753.0,2.3930000000001866e-05,1,2,2.0,3,0.02750798,0.02750798,0.02750798,0.02750798,0.02750798,0.0,0.02748405,0.02747307,1.098e-05,0.013742025,0.013742025,0.00018854159679202497
c799b56a97d3c59866d67c8636759352f9985b477e15e6e53f4434607b4e6952,2022-08-09 21:38:01,0,1.098e-05,81153.0,3.8009999999998045e-05,1,2,2.0,3,0.0371653,0.0371653,0.0371653,0.0371653,0.0371653,0.0,0.03712729,0.03711631,1.098e-05,0.018563645,0.018563645,0.00034420137860222496
aa17276b4ea1007be9919cc8a548eac04313ed88b4993cb5e3c647680791ea7a,2022-08-10 20:10:15,0,1.098e-05,81134.0,5.629999999999524e-06,1,2,2.0,3,0.02985395,0.02985395,0.02985395,0.02985395,0.02985395,0.0,0.02984832,0.02983734,1.098e-05,0.01492416,0.01492416,0.0002224029377124
342b9a210de21a42412ef8216a17830d3001934f1a9b8a3b3ee80f0540c4af6b,2022-08-12 05:15:07,0,1.098e-05,119092.0,5.629999999999524e-06,1,2,2.0,3,0.02460325,0.02460325,0.02460325,0.02460325,0.02460325,0.0,0.02459762,0.02458664,1.098e-05,0.01229881,0.01229881,0.0001509907661089
d7987428197493257e8631ba7c52a580267fa74c8bc5aecb4d25fafa2f3882fa,2022-08-13 00:40:32,0,1.098e-05,69925.0,5.629999999999524e-06,1,2,2.0,3,0.02770905,0.02770905,0.02770905,0.02770905,0.02770905,0.0,0.02770342,0.02769244,1.098e-05,0.01385171,0.01385171,0.00019156580693289996
b0d3614bedc0ac3caec9d0371515b8ec5776f0418758f0602dc3067e17cf74d8,2022-08-13 21:22:01,0,1.098e-05,74489.0,5.629999999999524e-06,1,2,2.0,3,0.00857921,0.00857921,0.00857921,0.00857921,0.00857921,0.0,0.00857358,0.0085626,1.098e-05,0.00428679,0.00428679,1.82825511561e-05
