txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
142d0f28f6977debb9f529078f5fb2ba4ac46ec07e2f91e78239831e2c8f462d,2022-08-03 02:13:52,0.00454858,0,,0.0001816000000000005,1,2,2.0,3,0.00454858,0.00454858,0.00454858,0.00454858,0.00454858,0.0,0.0043669799999999995,0.00224698,0.00212,0.0021834899999999997,0.0021834899999999997,4.0309801000000034e-09
bbda8f6631d1e63867cd1da48ce0d632ae69b844a2703df9a9fc134c6f3239f4,2022-08-06 01:35:50,0,0.0049013,256918.0,3.131999999999961e-05,1,2,2.0,3,0.00721464,0.00721464,0.00721464,0.00721464,0.00721464,0.0,0.00718332,0.0049013,0.00228202,0.00359166,0.00359166,1.7151569295999999e-06
bf483e27e2e7bc4c395b28dee204aa38f891fc08a4b6e65a01a7134093fcf592,2022-08-06 07:17:39,0.0049013,0,20509.0,0.00018159999999999964,1,2,2.0,3,0.0049013,0.0049013,0.0049013,0.0049013,0.0049013,0.0,0.0047197,0.00424724,0.00047246,0.00235985,0.00235985,3.5622410121000004e-06
b0ed11426d202c2c0960a120c4ecdc5f3aa7430aca9b78788d5f6484faa41848,2022-08-09 19:07:33,0,0.00226457,301794.0,1.4199999999998068e-06,1,2,2.0,3,0.00256064,0.00256064,0.00256064,0.00256064,0.00256064,0.0,0.00255922,0.00226457,0.00029465,0.00127961,0.00127961,9.701462016e-07
7a6877caceb835c3161f36ca530a002eefedecd8eb6fcfe122081bd157fd367b,2022-08-09 22:21:33,0.00226457,0,11640.0,0.0002862400000000001,2,1,0.5,3,0.00243255,0.00226457,0.00016798,0.001216275,0.001216275,1.098922407025e-06,0.00214631,0.00214631,0.00214631,0.00214631,0.00214631,0.0
082acd576c634b3cc8e71e81f065eded66273e4ffd48b04b96cc34940116c0bf,2022-08-10 02:37:34,0,0.00229084,15361.0,5.579999999999995e-05,2,2,1.0,4,0.00254643,0.00188824,0.00065819,0.001273215,0.001273215,3.7825575062500003e-07,0.00249063,0.00229084,0.00019979,0.001245315,0.001245315,1.093122525625e-06
fa11774a26330b28c6426f15643c76d4069599c3924ed3a5364c01b9ff38edcc,2022-08-10 10:14:34,0.00229084,0,27420.0,0.0002934500000000002,2,1,0.5,3,0.0024941300000000002,0.00229084,0.00020329,0.0012470650000000001,0.0012470650000000001,1.089466250625e-06,0.00220068,0.00220068,0.00220068,0.00220068,0.00220068,0.0
cee8b79bfe976c8a325c1465155743881ecdc88bdd40981b8fc4f3cf44088d71,2022-08-12 21:36:30,0,0.11692766,213716.0,4.169999999997787e-06,2,2,1.0,4,0.11807937,0.11560977,0.0024696,0.059039685,0.059039685,0.003200174516907225,0.1180752,0.11692766,0.00114754,0.0590376,0.0590376,0.0033512590468036
3c8f7e8e12015da39e5b541440314234176593b839b5893fe576188aba43d5ba,2022-08-14 04:12:54,0.11692766,0,110184.0,0.0001815999999999901,1,2,2.0,3,0.11692766,0.11692766,0.11692766,0.11692766,0.11692766,0.0,0.11674606000000001,0.08929151,0.02745455,0.058373030000000006,0.058373030000000006,0.0009559524055104001
e83a138437693e8da635ff86675b0e285fa25aa2745609dd74b4970ac34107be,2022-08-16 08:04:59,0,0.04141397,186725.0,1.6889999999991634e-05,1,2,2.0,3,0.144508,0.144508,0.144508,0.144508,0.144508,0.0,0.14449111,0.10307714,0.04141397,0.072245555,0.072245555,0.0009505866336122249
