txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
cfdf1a5c94e9f1a3264a69fbe2488b800f8d2bb39470bea4866c64e10bdd1754,2023-10-21 20:09:18,0,0.00099805,,0.0013444999999996377,1,164,164.0,165,3.091266,3.091266,3.091266,3.091266,3.091266,0.0,3.0899215000000004,0.55621254,0.00090043,0.01013661,0.01884098475609756,0.003391185998166983
fb1495e38a9e49ab8ae79b90a1d1dc03ef9c061bf7ce6a02cce3bea81ae47e88,2023-10-22 02:50:40,0.00099805,0,24082.0,0.0002895599999999999,2,1,0.5,3,0.00128956,0.00099805,0.00029151,0.00064478,0.00064478,1.2479969289999998e-07,0.001,0.001,0.001,0.001,0.001,0.0
c8462504762aeac2d5b662e2cee8094a0d273b40e50b87956325f2656002d65d,2023-10-22 21:09:59,0,0.00094888,65959.0,0.0011614999999998155,2,139,69.5,141,2.54279012,2.16936019,0.37342993,1.27139506,1.27139506,0.8063413746959168,2.54162862,0.46374192,0.00090745,0.01014918,0.01828509798561151,0.0022521314275238203
891c31b8c7b67fb800e4c1bf9c4675d8c14e8ae565c0c0bf89f399238b6d0c59,2023-10-24 05:41:10,0.00094888,0,117071.0,0.00028341,2,1,0.5,3,0.00248831,0.00153943,0.00094888,0.001244155,0.001244155,8.7187325625e-08,0.0022049,0.0022049,0.0022049,0.0022049,0.0022049,0.0
e94bde8d1f5a9f6df6bc101f2ef38b3a5b2e9f5e938d5a474cf6540cde8b87d1,2023-10-26 20:16:06,0,0.000956,225296.0,0.0014822499999977978,1,179,179.0,180,6.28681222,6.28681222,6.28681222,6.28681222,6.28681222,0.0,6.285329970000002,1.63317806,0.00090248,0.01008581,0.03511357525139665,0.022220477502521624
1d1623e711cd8b17e99092267bfc982bdf60d0e37f1ffbda408759c8a87be69d,2023-10-28 01:08:52,0.000956,0,103966.0,0.0002914800000000001,2,1,0.5,3,0.00117277,0.000956,0.00021677,0.000586385,0.000586385,1.36615248225e-07,0.00088129,0.00088129,0.00088129,0.00088129,0.00088129,0.0
74ef8a71bc81476c694ed3bc904bdc3c48ff57de0bf90cc55a5acb175fe1dd8c,2023-10-28 04:07:05,0,0.00093942,10693.0,0.0012482500000023933,2,144,72.0,146,7.83604888,6.32524983,1.51079905,3.91802444,3.91802444,5.794734078260651,7.8348006299999975,2.59135635,0.0009014,0.01011998,0.05440833770833333,0.07918503763202864
18c63bdebcb2f75871917eed97b235692a77440052af53a2c2e44b78f2931b83,2023-10-29 17:50:10,0,0.00092255,135785.0,0.0023472500000032426,2,281,140.5,283,8.3315595,6.48952878,1.84203072,4.16577975,4.16577975,5.39980955442594,8.329212249999996,0.9559147,0.00090032,0.01105771,0.02964132473309609,0.006524314526501366
e57f1d5486dd56d78e3bc139e22350f7970be1e10a4dc9194598da37efe6c748,2023-10-31 09:32:04,0.00016913,0,142914.0,0.00027913000000000005,2,1,0.5,3,0.00204373,0.0018746,0.00016913,0.001021865,0.001021865,7.271569802249999e-07,0.0017646,0.0017646,0.0017646,0.0017646,0.0017646,0.0
ebde0d85877a28c3c475ed46063b124fe5cfd19bb9dab0cb6e5374fab9ff4f06,2023-11-03 06:13:57,0,0.00124532,247313.0,0.0023084999999953837,1,282,282.0,283,6.34373717,6.34373717,6.34373717,6.34373717,6.34373717,0.0,6.341428670000004,0.91018724,0.00090067,0.010164655,0.022487335709219854,0.007372488919562031
