txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
275ab02b187fcb9e9350c2a0b8fbb545bce5e656a758a8a36dc326ed486db902,2021-05-24 08:33:26,0,1e-05,,0.0036915000000001252,1,1149,1149.0,1150,0.03322893,0.03322893,0.03322893,0.03322893,0.03322893,0.0,0.02953742999999987,0.00426761,1e-05,1.048e-05,2.5707075718015665e-05,1.85638737355739e-08
b15c1e0e062f6357a9c071de33f2c785579c05682df0067bf6d4647703b6e466,2021-06-17 04:34:24,0,1.9e-05,2059258.0,0.0020216400000002133,4,3001,750.25,3005,0.12539796,0.0507696,0.01037713,0.032125615,0.03134949,0.00036564102241985,0.12337631999999979,0.01518154,1e-05,1.52e-05,4.1111736087970673e-05,9.183486159628623e-08
270b4f7061339a737d9eb41abbb227ba018a5e0b275dc7be5dbdd92b2f8d9ade,2021-07-26 18:42:55,0,2.9e-05,3420511.0,0.001512049999998405,1,3001,3001.0,3002,0.22350841,0.22350841,0.22350841,0.22350841,0.22350841,0.0,0.22199636000000159,0.12312726,1e-05,1.296e-05,7.397412862379206e-05,5.120873938450166e-06
4fe164d592137b94d693bf2cca919c81881c33b61225847ef737517609e527b2,2021-07-27 15:52:25,2.9e-05,0,76170.0,0.000262720000000001,2,1,0.5,3,0.01386272,0.01383372,2.9e-05,0.00693136,0.00693136,4.76425735696e-05,0.0136,0.0136,0.0136,0.0136,0.0136,0.0
2b9b5d812093989c29b1600942c83d5a83802bf407a680dbb5b5850246d6362a,2021-08-07 14:43:30,0,2.8e-05,946265.0,0.00046278999999990744,1,1381,1381.0,1382,0.11246814,0.11246814,0.11246814,0.11246814,0.11246814,0.0,0.11200535000000009,0.03773149,1e-05,1.335e-05,8.110452570601014e-05,1.0682862461571427e-06
cd1d790e03c5932b20b6609918aa09134a7cfea50d1b096433915392cbdb43e2,2021-08-08 02:23:28,2.8e-05,0,41998.0,0.00023955999999999977,2,1,0.5,3,0.02328113,0.02325313,2.8e-05,0.011640565,0.011640565,0.000134851665879225,0.02304157,0.02304157,0.02304157,0.02304157,0.02304157,0.0
9ebb4680d673e9466d2a34d0a550c4f880c3b6e09f98a90c9aadef519fa15eb3,2021-08-12 20:34:30,0,5.596e-05,411062.0,0.00034330999999993006,1,1022,1022.0,1023,0.11853506,0.11853506,0.11853506,0.11853506,0.11853506,0.0,0.11819175000000007,0.02402104,1e-05,2.033e-05,0.00011564750489236792,6.157501658862404e-07
200b28188ccfe5e1bff9e760a48602658b0acbc21bc99fff2d9fae892b7c5e26,2021-08-13 16:31:52,5.596e-05,0,71842.0,0.00024494,2,1,0.5,3,0.00040494,0.00034898,5.596e-05,0.00020247,0.00020247,2.1465180099999997e-08,0.00016,0.00016,0.00016,0.00016,0.00016,0.0
2ad486407c8fc5f63910721648ca820f2dcb9c16cdc1359fb6373ed023431613,2021-08-16 06:28:24,0,6.508e-05,222992.0,0.001007549999999191,1,3001,3001.0,3002,0.19261653,0.19261653,0.19261653,0.19261653,0.19261653,0.0,0.19160898000000082,0.07918725,1e-05,1.213e-05,6.384837720759746e-05,2.107742324010462e-06
f237bb4551a26b99572cd35c952f83aadf442a4dbbef7a7a510857a9cb86843d,2021-08-16 15:57:43,6.508e-05,0,34159.0,0.00026199000000000014,2,1,0.5,3,0.00443709,0.00437201,6.508e-05,0.002218545,0.002218545,4.637411506225e-06,0.0041751,0.0041751,0.0041751,0.0041751,0.0041751,0.0
d815064d595ea4e27ba82d6a2dfa1a7868bb003af8cf7f989704b5a505f3e715,2021-08-22 06:13:40,0,0.00010135,483357.0,9.449999999988634e-05,1,60,60.0,61,3.65124696,3.65124696,3.65124696,3.65124696,3.65124696,0.0,3.65115246,2.87087559,0.00010135,0.00163099,0.06085254100000001,0.1358236850114039
8c01ecaa21e98212c5223acad95f84dd974e32292a8f4dd33745971f6be6b0bf,2021-08-23 19:01:34,0.00010135,0,132474.0,0.00024727000000000776,2,1,0.5,3,0.11976942,0.11966807,0.00010135,0.05988471,0.05988471,0.0035740501328896,0.11952215,0.11952215,0.11952215,0.11952215,0.11952215,0.0
