txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
16389b228b9fe80bab73fbfa5223585036ce3ea13795b999b2640d112232f784,2022-03-16 18:30:08,0,7.13e-06,,0.00010057999999998901,1,302,302.0,303,0.08928556,0.08928556,0.08928556,0.08928556,0.08928556,0.0,0.08918498000000001,0.08538286,6.6e-06,1.067e-05,0.0002953145033112583,2.405286926719429e-05
0bc926e99bc6ce193493ead3e2a7cada4c52d6f03f18a83cd822ff4a7f354062,2022-04-17 12:48:02,0,1.423e-05,2744274.0,0.00010493999999999955,1,304,304.0,305,0.01052783,0.01052783,0.01052783,0.01052783,0.01052783,0.0,0.01042289,0.00546164,6.75e-06,1.3395e-05,3.4285822368421056e-05,9.730784765392897e-08
d5acf601334a33b00e5972f3653928eeddc9db445b28264a06b4bead6ae1973b,2022-04-19 11:53:51,0,1.427e-05,169549.0,0.00010493999999999781,1,304,304.0,305,0.04535259,0.04535259,0.04535259,0.04535259,0.04535259,0.0,0.04524765,0.04070166,6.68e-06,1.188e-05,0.0001488409539473684,5.427577505615866e-06
f55b1561e5395b0bd6eb938724b9b1c2b4cd855cac18f565b84a358e1757d5e6,2022-04-24 09:05:37,0,1.288e-05,421906.0,0.00012766999999999987,14,301,21.5,315,0.00438083,0.00099808,9.424e-05,0.00029705,0.0003129164285714286,5.0929879522959165e-08,0.00425316,4.712e-05,6.87e-06,1.18e-05,1.4130099667774088e-05,5.480105746514939e-11
affda25699d63a366fdfe9286cba70810506a551a87a7c1227717c141f25613b,2022-12-24 11:19:48,0,0.00024053,21089651.0,0.0001400599999999974,2,33,16.5,35,0.02400283,0.023804,0.00019883,0.012001415,0.012001415,0.00013930101268222497,0.023862770000000002,0.00380705,9.4e-05,0.0003,0.0007231142424242425,9.234268823395775e-07
cda33f23909d3f5d78c1ec1a29a997b30d49fbf8f28835c36dbb5ac93c582ec6,2022-12-24 20:12:50,0.00024053,0,31982.0,0.00029574000000000007,2,1,0.5,3,0.00324053,0.003,0.00024053,0.001620265,0.001620265,1.903668670225e-06,0.00294479,0.00294479,0.00294479,0.00294479,0.00294479,0.0
7c8cba6e5edffe00fc05567f378df8d6a0eca52416376080bd1950f4bdaeba6f,2022-12-27 09:04:50,0,0.00044551,219120.0,4.2099999999999776e-05,5,30,6.0,35,0.008374010000000001,0.005,9.4e-05,0.00104,0.0016748020000000002,3.283533780816e-06,0.008331910000000001,0.00243659,0.000102,0.000158715,0.0002777303333333334,1.741874960898889e-07
920800da128aae8d8657e6c00abab8724320cab77d7a6d04274503f65c1592f6,2022-12-29 16:11:49,0.00044551,0,198419.0,0.00027703999999999923,2,1,0.5,3,0.012518089999999999,0.01207258,0.00044551,0.0062590449999999995,0.0062590449999999995,3.3797189196225e-05,0.01224105,0.01224105,0.01224105,0.01224105,0.01224105,0.0
9e9f15af00c459f9d2fcf413ebad3db42490aa1f1ad184abdd88ed5353e0ed79,2023-04-12 10:42:17,0,2.713e-05,8965828.0,0.0004391600000000027,5,300,60.0,305,0.00596898,0.00355607,9.846e-05,0.00018991,0.001193796,1.8963560254640002e-06,0.005529819999999997,0.00015475,7.65e-06,1.2984999999999998e-05,1.843273333333333e-05,2.9644722119555554e-10
78e242480a34a9432dc0e7b0541e41f6e442124ddb69c1cc76d0697079ce7c12,2023-08-29 08:32:34,0,2.675e-05,12001817.0,0.000729820000000006,1,302,302.0,303,0.12361186,0.12361186,0.12361186,0.12361186,0.12361186,0.0,0.12288204,0.11386755,1.209e-05,1.985e-05,0.00040689417218543045,4.2769303883105775e-05
