txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
17c1c1fbd457dcd10e47432086baee87f0d8afc243d89822455fbb3018cfb0d1,2024-03-29 01:21:26,0.0033172,0,,0.0002767800000000008,2,1,0.5,3,0.010172210000000001,0.00685501,0.0033172,0.0050861050000000005,0.0050861050000000005,3.1290248990249996e-06,0.00989543,0.00989543,0.00989543,0.00989543,0.00989543,0.0
9c5dddb72ec194e73f75ab18c8c59fcb954f0d7be7636d486b64e07a4af22617,2024-03-29 01:43:48,0,0.01449035,1342.0,0.0006058499999996858,7,35,5.0,42,1.45482691,0.25,0.16238805,0.20365214,0.2078324157142857,0.000805980795961967,1.4542210600000003,0.45,0.00014135,0.00265741,0.041549173142857145,0.010460901355697256
6d44b0f3888d0bffd233da0918b9c74b8c2415772e944468ed31573903b9d6b4,2024-03-30 20:19:18,0.00321478,0,153330.0,0.0002792799999999998,2,1,0.5,3,0.00340582,0.00321478,0.00019104,0.00170291,0.00170291,2.2857508969e-06,0.00312654,0.00312654,0.00312654,0.00312654,0.00312654,0.0
221115e6f7e64dc9433b6b7272c68ba73ee02b88f0c5e01b8187ae4282955dd3,2024-03-31 06:13:16,0,0.00408029,35638.0,0.000390379999999968,1,32,32.0,33,0.43992327,0.43992327,0.43992327,0.43992327,0.43992327,0.0,0.43953289,0.1433843,0.00010042,0.0021806,0.0137354028125,0.0009741238123786764
ef0df1d9de2236412450c4fbb13e76588771ea453ca5a28163ab0a7fde8a81b0,2024-03-31 15:07:37,0.00223046,0,32061.0,0.00018160000000000008,1,2,2.0,3,0.00223046,0.00223046,0.00223046,0.00223046,0.00223046,0.0,0.00204886,0.00141995,0.00062891,0.00102443,0.00102443,1.5643607039999995e-07
532d267ca81400163dcb199520cadad8deacea6088837d70a2af967604cf286f,2024-04-04 09:56:36,0,0.00200303,326939.0,0.0006169599999992226,1,209,209.0,210,1.36392662,1.36392662,1.36392662,1.36392662,1.36392662,0.0,1.3633096600000008,0.91162874,9.334e-05,0.00076385,0.006523012727272728,0.00395969478614209
2613fb81de0a35603b3b662e11499bb0c68d995d5f02ab25cf1205239b665740,2024-04-04 22:38:08,0,0.00155467,45692.0,5.9449999999999954e-05,1,2,2.0,3,0.00215827,0.00215827,0.00215827,0.00215827,0.00215827,0.0,0.00209882,0.00155467,0.00054415,0.00104941,0.00104941,2.552876676e-07
6440aa1d1996742810eb1d7d6e2eb1f181900efefb7a2c682b2d9f73ad29d006,2024-04-05 01:41:54,0.00200303,0,11026.0,0.0002982000000000002,2,1,0.5,3,0.00907322,0.00707019,0.00200303,0.00453661,0.00453661,6.4190276163999995e-06,0.00877502,0.00877502,0.00877502,0.00877502,0.00877502,0.0
f67c0733e5e6a77ade566a60786b999d5ec845cb576bd676ca3978d6fab97b10,2024-04-05 02:36:25,0,0.00338823,3271.0,2.5200000000001263e-05,1,2,2.0,3,0.00984725,0.00984725,0.00984725,0.00984725,0.00984725,0.0,0.009822049999999999,0.00643382,0.00338823,0.004911024999999999,0.004911024999999999,2.318904612025e-06
80f917dfebd556cc43931d0cde641afc805bf29bd568e77e6ff0b9fa6a5b3f58,2024-04-05 12:02:16,0,0.0029,33951.0,9.639999999999996e-06,1,2,2.0,3,0.00320918,0.00320918,0.00320918,0.00320918,0.00320918,0.0,0.00319954,0.0029,0.00029954,0.00159977,0.00159977,1.6905980528999997e-06
c144bc32d18bd8bb346f9edccd11c84d4c93f9faf70b8366996357a724618c6f,2024-04-05 23:43:20,0.00613312,0,42064.0,0.0002888799999999983,2,1,0.5,3,0.023818989999999998,0.01768587,0.00613312,0.011909494999999999,0.011909494999999999,3.3366508140625e-05,0.02353011,0.02353011,0.02353011,0.02353011,0.02353011,0.0
ac16b26aa73228320b20e253398f583a3a17cabb92479d6eaef30eccf31a40fb,2024-04-06 06:35:14,0,0.00162494,24714.0,0.00019596999999998976,1,26,26.0,27,0.44,0.44,0.44,0.44,0.44,0.0,0.43980403,0.36783447,0.00017745,0.0015057550000000001,0.016915539615384615,0.004937483133290328
067ba7d5fe23b9724ef404ee244d33c4ce4950308efb3ef333774164ddef1ea6,2024-04-06 23:22:10,0.00162494,0,60416.0,0.0002821900000000001,2,1,0.5,3,0.00176215,0.00162494,0.00013721,0.000881075,0.000881075,5.533351382250001e-07,0.00147996,0.00147996,0.00147996,0.00147996,0.00147996,0.0
