txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
ab1b395e42650c449b03b640edc5226b78ef5540543aff731536bc04a405b76f,2019-09-19 02:32:31,0,2e-05,,0.0023567099999988184,3,2786,928.6666666666666,2789,0.28420503,0.15449929,0.00169773,0.12800801,0.09473501000000001,0.004444932387572268,0.2818483200000012,0.01135194,1e-05,2.1485000000000002e-05,0.000101165944005743,2.4798478639776283e-07
d8be70dbfc8d697f0eee86938645f745640a2b7374dc3698615ce4976033d826,2019-09-23 03:15:14,0,4.161e-05,348163.0,0.0023390399999996814,1,2768,2768.0,2769,0.29869062,0.29869062,0.29869062,0.29869062,0.29869062,0.0,0.29635158000000034,0.03129882,1e-05,2.1275000000000002e-05,0.00010706343208092486,5.459434509854029e-07
293a17e3334c24e40214fc0d08957178d9709e4707941107559db456b30a80f5,2019-09-28 05:57:20,0,1.758e-05,441726.0,0.002351379999998071,1,2785,2785.0,2786,0.37915245,0.37915245,0.37915245,0.37915245,0.37915245,0.0,0.3768010700000019,0.14574875,1e-05,2.222e-05,0.0001352966140035907,7.689487708482648e-06
ba83f35ea2dda0307a3736025b387a07ac0fa2b31676955c22c4149e712bd058,2019-10-06 17:47:19,0,0.00010322,733799.0,0.002332099999999282,1,2759,2759.0,2760,0.25123172,0.25123172,0.25123172,0.25123172,0.25123172,0.0,0.2488996200000007,0.02737144,1e-05,2e-05,9.021370786516854e-05,4.32649421237466e-07
d3c1c842be22b5191304e1b1e41cad32508f3b219054993396b9a5fb07080a5d,2019-10-08 20:22:02,0,1.014e-05,182083.0,0.0011719099999999427,1,1386,1386.0,1387,0.14191088,0.14191088,0.14191088,0.14191088,0.14191088,0.0,0.14073897000000005,0.01954553,1e-05,2.067e-05,0.00010154326839826839,4.0273263702128e-07
37d8bb39720dbf9d7d96467580a0eaab028a2a027e4a3d77d378f07dd28f60f2,2019-10-10 19:51:39,1.014e-05,0,170977.0,0.000831960000000187,17,2,0.11764705882352941,19,3.0008974800000003,0.45601987,1.014e-05,0.15566783,0.1765233811764706,0.01282413192851261,3.00006552,3,6.552e-05,1.50003276,1.50003276,2.2499017210732175
c4ae89b31952b9026f116e3dfb84679cf18d522a24845d565a40dfd7c5b64e0d,2019-10-14 09:10:02,0,5e-05,307103.0,0.0007699300000001408,3,2303,767.6666666666666,2306,0.26749944,0.21271484,0.02537261,0.02941199,0.08916647999999999,0.0076348180611422,0.26672950999999984,0.01627519,5e-05,7.484e-05,0.00011581828484585324,1.674818470227204e-07
b840c3015fb693fe745b546b2b9982d439e7eb0e17bf3066eb61afcf4aa5d2d0,2019-10-17 00:40:38,0,1.096e-05,228636.0,0.0019043799999996502,4,2250,562.5,2254,0.21753036000000003,0.17664514,0.00880241,0.016041405,0.05438259000000001,0.00501673986078085,0.21562598000000038,0.01275833,1e-05,2e-05,9.583376888888888e-05,1.9623908334277327e-07
8a18121c18ba818e9b7a3968ded30f89ccdc410fe820e356cce5a30a9eace5ce,2019-10-22 06:21:32,0.00018418,0,452454.0,0.005768699999999516,743,2,0.0026917900403768506,745,3.0061154399999994,0.36786,6.27e-06,0.0019,0.004045915800807537,0.00023139826709855815,3.00034674,3,0.00034674,1.50017337,1.50017337,2.249479920057157
a3a5c5dd8a5b56d3f31e2e859a9a1d2f4b08c2e3f5cbafab53cb06ae322510b3,2019-10-31 02:20:27,4.161e-05,0,763135.0,0.005861699999999637,167,2,0.011976047904191617,169,2.0065317199999995,0.30244381,1e-05,0.00214907,0.012015160000000002,0.0015576181875811936,2.00067002,2,0.00067002,1.00033501,1.00033501,0.9993300922317
