txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
da4ac3088914880cdc61eece5eaf1a8c228cebb19f8300117f26bf5f49e5a483,2020-08-14 09:51:16,0,0.00018234,,0.000631940000000053,3,621,207.0,624,0.08378218,0.08256,0.0006,0.00062218,0.02792739333333333,0.0014923609375894224,0.08315023999999994,0.00940104,1.228e-05,0.00011421,0.00013389732689210953,1.4441874560638103e-07
94825686eb0f58a2f72aab5e7b03ddeab105746d284492c472406a94b3caa246,2020-08-14 11:21:14,0.00018234,0,5398.0,0.00042930000000000745,11,2,0.18181818181818182,13,0.031980720000000004,0.01481024,5.034e-05,0.00015425,0.0029073381818181822,2.1208009232505783e-05,0.03155142,0.03123591,0.00031551,0.01577571,0.01577571,0.00023901778403999998
d83f9d35baa96745df366997bdb2dcb889f13bb99754d223fd2187d960f8b6d5,2020-09-07 19:33:17,0,0.00016075,2103123.0,0.0004815299999999939,7,700,100.0,707,0.06902158,0.05211,7.374e-05,0.00253037,0.009860225714285714,0.00030579590505633867,0.06854005,0.00086399,7.75e-06,9.535e-05,9.791435714285713e-05,4.374750669729592e-09
0d43ddcb4eb05156d3c41939078e0a8cb07d54e4380a9db9322c4fc45505e2e1,2020-09-07 20:31:06,0.00016075,0,3469.0,0.0005549500000000011,8,1,0.125,9,0.007769500000000001,0.0035,6.525e-05,0.00014022,0.0009711875,1.4727838284937498e-06,0.00721455,0.00721455,0.00721455,0.00721455,0.00721455,0.0
1548e54dc8c976af578e8155142154168db031a716006c1ac42db9aa85611074,2020-10-15 11:22:24,0,0.00018036,3250278.0,0.0007667999999999009,2,756,378.0,758,0.08438512000000001,0.07,0.01438512,0.042192560000000004,0.042192560000000004,0.0007732537193536001,0.08361832000000011,0.01035409,2.208e-05,9.244e-05,0.00011060624338624339,1.4177146798932702e-07
39a73eb585dc291a234dc8815677e7cbd4e5abd6dc243ad047273b31dabcdcd2,2020-10-16 00:43:24,0.00018036,0,48060.0,0.00029498000000000024,18,1,0.05555555555555555,19,0.01813066,0.00238154,0.00011657,0.000873795,0.001007258888888889,5.739238381765433e-07,0.01783568,0.01783568,0.01783568,0.01783568,0.01783568,0.0
c78b16f7e02e1f790983f4b7685da3cb37d774609a7191195478355439e86c6f,2020-11-07 11:46:04,0,0.0001021,1940560.0,0.0007402400000000448,2,731,365.5,733,0.06535409,0.055,0.01035409,0.032677045,0.032677045,0.000498314319932025,0.06461384999999996,0.01046622,1.286e-05,6.851e-05,8.839103967168262e-05,1.5039254925445944e-07
5dc19b081914d7398d4e36d5a7036033cd85f74c425be26a3150e6358982c929,2020-11-08 08:37:34,0.0001021,0,75090.0,0.00013823999999995618,8,4,0.5,12,0.20554521999999997,0.18902934,7.562e-05,0.0007514949999999999,0.0256931525,0.003820289238043143,0.20540698000000002,0.0538726,0.04378918,0.0538726,0.051351745000000004,1.906412979307501e-05
50bf534a7ff2aaa88988c56258ce77f155c720f61c51f94dfb52bf99fcd07d63,2020-12-11 14:43:47,0,6.743e-05,2873173.0,0.0007903300000000613,2,781,390.5,783,0.05046622,0.04,0.01046622,0.02523311,0.02523311,0.00021806104027210002,0.04967588999999994,0.00527963,1.052e-05,5.179e-05,6.360549295774648e-05,3.638726097507709e-08
c1e4c5c19fb903bf202fc3c38f313982788861f138dc1f9f2bbf53a0dc2c1052,2020-12-12 02:18:32,6.743e-05,0,41685.0,0.0003945599999999744,8,2,0.25,10,0.11908477999999999,0.06787723,6.743e-05,0.0016671950000000002,0.0148855975,0.0005272175909527937,0.11869022000000001,0.08345784,0.03523238,0.059345110000000006,0.059345110000000006,0.0005814237480529002
