txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
5778ea384ae1bd19ac828b197e6ee3dbda2409e270adafebe81ee4840ebde60e,2019-11-09 11:26:29,0,4.63e-05,,1.937000000007405e-05,1,44,44.0,45,0.88024353,0.88024353,0.88024353,0.88024353,0.88024353,0.0,0.8802241599999999,0.87672926,3.003e-05,3.248e-05,0.020005094545454544,0.017069227632809016
212442815b7d51c40fbb45c9fa2b6b8cc926a9a51faacd9e3df6452264040455,2019-11-14 02:28:05,4.63e-05,0,399696.0,0.0016751999999993217,61,2,0.03278688524590164,63,3.011406209999999,0.926624,1.001e-05,0.00263097,0.04936731491803279,0.03072597703304504,3.00973101,3,0.00973101,1.504865505,1.504865505,2.235427158138905
597a6779a0bf4cc5f72c5482f09ae69c8675ac6a33999ecccb5c843f286275ce,2019-11-18 10:55:45,0,0.000157,376060.0,6.519999999993198e-05,1,192,192.0,193,0.072,0.072,0.072,0.072,0.072,0.0,0.07193480000000006,0.04968204,0.0001,0.000101245,0.0003746604166666668,1.273025677588212e-05
20461d1098ecfe6fa219bdacadd0b436f59a330b3e42c6931210fb1e9902e037,2019-11-18 16:48:37,0.000157,0,21172.0,0.0017217199999999266,88,1,0.011363636363636364,89,3.00172172,0.552,1.138e-05,0.008680085,0.03411047409090909,0.005732340949875966,3,3,3,3.0,3.0,0.0
2d773c00dc4c9869570d0b13971d652d05e89108f4d92b8bfe822c07d60e1c34,2019-12-28 03:30:27,0,4.917e-05,3408110.0,3.6719999999990094e-05,1,102,102.0,103,1.00756007,1.00756007,1.00756007,1.00756007,1.00756007,0.0,1.00752335,1.00376304,3e-05,3.032e-05,0.009877679901960784,0.00978027855149684
16d6f31cddaa891a8c594c6b73eff71987a1cd45f759947c1af9202e6abc0fef,2019-12-30 06:58:45,4.917e-05,0,185298.0,0.0040775999999995705,218,2,0.009174311926605505,220,5.004233459999999,0.3886308,6.04e-06,0.00417217,0.022955199357798165,0.0028231900476849404,5.00015586,5,0.00015586,2.50007793,2.50007793,6.2496103560730845
cae49e7647852b55e31f57c803f937ae45ca8d42c6abbb3eb8514807543c9f0f,2020-01-14 15:06:45,0,0.00019,1325280.0,6.730000000038094e-05,1,199,199.0,200,0.1922253,0.1922253,0.1922253,0.1922253,0.1922253,0.0,0.1921579999999996,0.15951735,0.0001,0.00010393,0.0009656180904522613,0.00012702294856234916
6509581f3b5b08a42b04a8cfe82a9cafde4f1c7b1bd800e3220a316b39f524c9,2020-01-15 06:32:30,0.00019,0,55545.0,0.0011530500000000998,61,2,0.03278688524590164,63,2.1013089000000003,0.36106687,1e-05,0.01143199,0.0344476868852459,0.004276596796765343,2.10015585,2.1,0.00015585,1.050077925,1.050077925,1.1023363635723056
f1850b8080f90cfe942553229f0299737680aaa48a9c76b2357fcc84c3a5f6b7,2020-01-16 14:53:50,0,0.00040903,116480.0,0.0003880799999999851,1,101,101.0,102,0.10061319,0.10061319,0.10061319,0.10061319,0.10061319,0.0,0.10022511000000002,0.06709943,0.0002,0.00027978,0.0009923278217821782,4.3754193047078446e-05
07b0d8824748703d042f42326601a3ddca9491880462ef6b87062fea9d4d9dea,2020-01-18 05:51:16,0.00040903,0,140246.0,0.0018283500000007002,96,2,0.020833333333333332,98,2.6118421500000006,0.258318,1.192e-05,0.009337905,0.0272066890625,0.00227207342654095,2.6100138,2.6,0.0100138,1.3050069,1.3050069,1.67700712904761
