txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
38b77da9f0989f1455bab7440b218bb55267450c694ea1606d9679a1e28de659,2022-10-13 20:45:40,0,0.04034739,,4.768000000000827e-05,4,2,0.5,6,0.04041187,0.01031098,0.01001337,0.010043759999999999,0.0101029675,1.4661232268750082e-08,0.040364189999999994,0.04034739,1.68e-05,0.020182094999999997,0.020182094999999997,0.0004066391224370249
d8b2b64eaab7dd7215d5dc8f25cc467229339dbed114d6e83b7ffd14516907ed,2022-10-13 21:56:12,0.04034739,0,4232.0,0.001338150000000038,14,3,0.21428571428571427,17,1.31586435,0.5,0.018,0.029297075,0.09399031071428572,0.024446745661430524,1.3145262,0.54613097,0.22226426,0.54613097,0.4381754,0.0233088101880498
115a192e5ab24fb0764b8e9415f3253ed93126a641014cbe160b80e6f98ebfb6,2022-12-05 17:17:26,0,0.01016521,4562474.0,0.0013750000000021245,2,167,83.5,169,5.21563499,4.98632161,0.22931338,2.607817495,2.607817495,5.657281825071934,5.214259989999998,0.30229856,0.00294975,0.01400379,0.031223113712574854,0.0022526031026091826
dbf978b7bcb30a5072f99c76af368f3fb9f9e3ba859c21f80a4ffef0033e9609,2022-12-06 09:38:09,0.01016521,0,58843.0,0.00018159999999999878,1,2,2.0,3,0.01016521,0.01016521,0.01016521,0.01016521,0.01016521,0.0,0.00998361,0.00581467,0.00416894,0.004991805,0.004991805,6.771068082249998e-07
60dc4923e728fd3975cf81868115c433d22e277bf95427996032757d7fd65655,2023-01-09 17:34:25,0,0.01014657,2966176.0,0.002591500000004743,3,311,103.66666666666667,314,16.23986357,6.48309689,3.32552094,6.43124574,5.413287856666667,2.17983343945664,16.237272069999996,2.00648825,0.00117238,0.01633355,0.052209878038585206,0.02576915878834944
be7082e9ea97e6983496e9835901f919500b09a1a0c42e1aade35f30a46fc73f,2023-01-10 00:03:57,0.01014657,0,23372.0,0.0001816000000000005,1,2,2.0,3,0.01014657,0.01014657,0.01014657,0.01014657,0.01014657,0.0,0.00996497,0.00860467,0.0013603,0.004982485,0.004982485,1.3120224174225e-05
3ceb558f877619745874598623d5c282d40e447641cbeb1307ef9741852d4cef,2023-02-21 17:08:50,0,0.01021519,3690293.0,0.0023557500000084275,2,281,140.5,283,12.79688447,6.46294139,6.33394308,6.398442235,6.398442235,0.004160140995714029,12.794528719999992,2.03166528,0.00090198,0.01112924,0.045532130676156586,0.022785697139476545
79c33838d008a9be4423fdef88aa08bf8b262e98564d17e64d1829ecb82f4910,2023-02-22 02:44:56,0.01021519,0,34566.0,0.0001816000000000005,1,2,2.0,3,0.01021519,0.01021519,0.01021519,0.01021519,0.01021519,0.0,0.01003359,0.0084477,0.00158589,0.005016795,0.005016795,1.1771109119025003e-05
dd15bd71109144a2623d94ee65bb765671c9ef197a2e13a3a35f7fa4dfb00f0d,2023-03-28 10:35:33,0,4.369e-05,2965837.0,0.0025595200000001483,1,433,433.0,434,8.44598292,8.44598292,8.44598292,8.44598292,8.44598292,0.0,8.4434234,1.87710772,5.64e-06,0.00045627,0.01949982309468822,0.01877161851928825
a05f36d61dc34fd25d9a1a18ac1dd44b5937d08686de09dec681eb9c398f39a7,2023-03-28 14:57:31,4.369e-05,0,15718.0,0.00027552999999999996,2,1,0.5,3,0.00231047,0.00226678,4.369e-05,0.001155235,0.001155235,1.2355322870249997e-06,0.00203494,0.00203494,0.00203494,0.00203494,0.00203494,0.0
