txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
0b56fd3375152610f449e711814a97c5f0a798136b99ae51c7a5e625efb6e8d7,2022-07-15 10:11:08,0.01306808,0,,0.0007776000000000033,6,2,0.3333333333333333,8,0.03898119,0.00686168,0.00586034,0.006564915,0.006496865,9.393332602499997e-08,0.038203589999999996,0.03358252,0.00462107,0.019101794999999998,0.019101794999999998,0.00020969139652562497
c3a11b0d0e2f0ecc65a012fc1de9bb9b9c26674b9541039929c6e83ab80ad875,2022-07-15 11:21:35,0,0.00651781,4227.0,0.010199999999990439,2,501,250.5,503,62.09765038,61.9166397,0.18101068,31.04882519,31.04882519,952.8219726237664,62.08745038000001,38.74643269,0.00243056,0.00652355,0.12392704666666665,3.0463113175589784
d153045ec94ed6b7ca472cf29f4d8937b28160f1ee6802b831a7fddcf1547d6b,2022-07-16 12:01:54,0,0.00649135,88819.0,0.01020000000001886,1,501,501.0,502,41.05062627,41.05062627,41.05062627,41.05062627,41.05062627,0.0,41.04042626999998,18.48910723,0.00126756,0.00885183,0.081917018502994,0.7086991643080454
ba994b2fe8c2d18ac00eee30c4f4252aa29fb3740d3bd508354b875bacc31a6e,2022-07-17 14:38:11,0,0.00661417,95777.0,0.01020000000000465,1,501,501.0,502,63.80047113,63.80047113,63.80047113,63.80047113,63.80047113,0.0,63.790271129999994,37.51907016,0.00106762,0.00661417,0.12732589047904191,2.8506191392931193
32b85b2fb9320d11b0517574400d72eaea68eeba260c67ba4f958d7c60668ab8,2022-07-18 11:41:24,0,0.00634003,75793.0,0.01020000000001886,1,501,501.0,502,41.69564112,41.69564112,41.69564112,41.69564112,41.69564112,0.0,41.68544111999998,19.67448408,0.00500325,0.00907686,0.08320447329341317,0.7960880650578301
74f0fbb36f5ae14dfcd32f216d8a411ebc0d85ea6970593e1a2f36bea6700fc3,2022-07-19 10:05:35,0,0.00640009,80651.0,0.01020000000000465,2,501,250.5,503,60.74836495,59.52693405,1.2214309,30.374182475,30.374182475,849.882924393665,60.73816495,33.7353509,0.00220913,0.00693122,0.12123386217564873,2.3064836319431103
0c977f120663717d9cde7727204e34acdc7508484d4be1d574a94600be4c9215,2022-07-19 19:35:20,0.00651781,0,34185.0,0.0002934000000000001,2,1,0.5,3,0.00727185,0.00651781,0.00075404,0.003635925,0.003635925,8.305261153224999e-06,0.00697845,0.00697845,0.00697845,0.00697845,0.00697845,0.0
d9e385da7b99309df057108093c36f21efac9a59d61938967f91f0e806fb70d7,2022-07-20 12:27:40,0,0.00603248,60740.0,0.010199999999976228,1,501,501.0,502,44.39005025,44.39005025,44.39005025,44.39005025,44.39005025,0.0,44.379850250000025,19.99108734,0.00500049,0.00880407,0.08858253542914173,0.8244258110460153
0ca0ec7244bf5f7251fd30c58ba33d64f28f1765ff714179d832976368d2296c,2022-07-20 16:52:30,0.00603248,0,15890.0,0.0002828499999999977,2,1,0.5,3,0.016819479999999998,0.010787,0.00603248,0.008409739999999999,0.008409739999999999,5.6513651075999996e-06,0.01653663,0.01653663,0.01653663,0.01653663,0.01653663,0.0
9bb75d7e2c968285632bee52d0a3321ead1ea7368c0868f0018678e5eaa00ed8,2022-07-20 19:46:56,0.00640009,0,10466.0,0.00027656000000000035,2,1,0.5,3,0.00654564,0.00640009,0.00014555,0.00327282,0.00327282,9.7798176529e-06,0.00626908,0.00626908,0.00626908,0.00626908,0.00626908,0.0
