txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
8fcdffed91fd9292963244bf65c4fb2d3dfdf2aa5f539d6f715238511f90a47e,2021-09-05 21:06:36,0,0.00063838,,1.1370000000010538e-05,1,2,2.0,3,0.0923317,0.0923317,0.0923317,0.0923317,0.0923317,0.0,0.09232032999999999,0.09168195,0.00063838,0.046160164999999996,0.046160164999999996,0.002072232909586225
e9fb8018ef27fac7928b9ebe8daa22c2d4ad3b46e3b1cb232b5e2f6c3506817b,2021-09-08 15:04:15,0,4.577e-05,237459.0,1.8129999999999882e-05,1,2,2.0,3,0.00725843,0.00725843,0.00725843,0.00725843,0.00725843,0.0,0.0072403,0.00719453,4.577e-05,0.00362015,0.00362015,1.27761923844e-05
1e9e25f73e6b49e8ac72ad18f6ab67a6b3e53cae6c8e886ba93b5e8e560896f1,2021-09-08 17:34:54,0.00068415,0,9039.0,0.00025018,2,1,0.5,3,0.00068415,0.00063838,4.577e-05,0.000342075,0.000342075,8.7796653025e-08,0.00043397,0.00043397,0.00043397,0.00043397,0.00043397,0.0
d36181c71a0cfa7b0eb15f3e9523ac95b1c7f9573fa318ef4b69b29661a60afc,2021-09-11 05:44:02,0,0.00051235,216548.0,2.0489999999999745e-05,1,2,2.0,3,0.01089889,0.01089889,0.01089889,0.01089889,0.01089889,0.0,0.0108784,0.01036605,0.00051235,0.0054392,0.0054392,2.42738509225e-05
972c899b71a4c1a0f6a3906d4e4fc55fd442c4308067fd00a08f89f078aa83aa,2021-09-11 18:33:00,0.00051235,0,46138.0,0.00024111999999999994,2,1,0.5,3,0.00074112,0.00051235,0.00022877,0.00037056,0.00037056,2.0104404099999994e-08,0.0005,0.0005,0.0005,0.0005,0.0005,0.0
8e330478f764b74d9a0f19065aeb753ec2db914c17b7bbf919b8f657fbfa0154,2021-09-12 02:33:51,0,0.00118489,28851.0,1.57899999999999e-05,1,2,2.0,3,0.00982927,0.00982927,0.00982927,0.00982927,0.00982927,0.0,0.00981348,0.00862859,0.00118489,0.00490674,0.00490674,1.3852167422500001e-05
ca23c85677ddd2ceedcdeb1a0e902ce831af1441ad84c7351aa840da6bbaa8d8,2021-09-12 03:23:47,0,0.00043758,2996.0,1.5799999999999842e-05,1,2,2.0,3,0.0195017,0.0195017,0.0195017,0.0195017,0.0195017,0.0,0.0194859,0.01904832,0.00043758,0.00974295,0.00974295,8.658991083690001e-05
40354c3d1dda7f4fc32bfb159649a8ef4c48199d2e91ab35fabd41203fe31c7a,2021-09-12 05:01:47,0,2.205e-05,5880.0,1.5879999999995897e-05,1,2,2.0,3,0.04327753,0.04327753,0.04327753,0.04327753,0.04327753,0.0,0.043261650000000006,0.0432396,2.205e-05,0.021630825000000003,0.021630825000000003,0.00046693915700062505
f61b0eee76c2d11e5190083a8ccfea72202ef0434c583f1b44a243bb571b3bb3,2021-09-12 12:42:40,0.00118489,0,27653.0,0.0002587100000000001,2,1,0.5,3,0.00237382,0.00118893,0.00118489,0.00118691,0.00118691,4.080399999999717e-12,0.00211511,0.00211511,0.00211511,0.00211511,0.00211511,0.0
63baa9c4a209def6528687d2ad99db11defc90f70d061dae82995c21139f5596,2021-09-13 03:46:15,0.00043758,0,54215.0,0.00024405,2,1,0.5,3,0.0009403,0.00050272,0.00043758,0.00047015,0.00047015,1.0608048999999996e-09,0.00069625,0.00069625,0.00069625,0.00069625,0.00069625,0.0
387aea1efae0535d85450a0491c380d494e5a3300f281ba28ef1ef10d1686df0,2021-09-19 01:40:58,0,0.00054134,510883.0,1.803000000000221e-05,1,2,2.0,3,0.15646138,0.15646138,0.15646138,0.15646138,0.15646138,0.0,0.15644335,0.15590201,0.00054134,0.078221675,0.078221675,0.006034234445712225
251957e92f00a71ea3fbd2f88e63df96c57473d1fb716e8da791385f8f208963,2021-09-20 21:02:50,0.00054134,0,156112.0,0.00024897000000000113,2,1,0.5,3,0.02911071,0.02856937,0.00054134,0.014555355,0.014555355,0.00019639261642022502,0.02886174,0.02886174,0.02886174,0.02886174,0.02886174,0.0
ce6fdc75c3c01863c75af40cab54e7c839a5897e5a8fd00fd59782e34df0996b,2021-10-08 18:08:50,0,0.00108351,1544760.0,4.291000000000711e-05,1,2,2.0,3,0.14995094,0.14995094,0.14995094,0.14995094,0.14995094,0.0,0.14990803,0.14882452,0.00108351,0.074954015,0.074954015,0.005456851508955024
7121baeb0da8fd6d7d6a2f76f37970e1c3536f943b1299a054e3bc95d124268e,2021-10-08 21:46:23,0.00108351,0,13053.0,0.0001589,1,2,2.0,3,0.00108351,0.00108351,0.00108351,0.00108351,0.00108351,0.0,0.00092461,0.00055025,0.00037436,0.000462305,0.000462305,7.734323024999996e-09
5f342eef0415b214fc5a524b5e281bd5db5be8d626ce23db3d3e99d500887dbe,2022-06-01 20:04:12,0,0.0015863,20384269.0,2.8600000000003623e-05,1,2,2.0,3,0.06611694,0.06611694,0.06611694,0.06611694,0.06611694,0.0,0.06608834,0.06450204,0.0015863,0.03304417,0.03304417,0.0009895975849369
71332aa17f138194ba53732ec94722505e1bc68000cd9b982f2d9a5b37226557,2022-06-03 16:55:44,0.0015863,0,161492.0,0.00029752999999999984,2,1,0.5,3,0.00684056,0.00525426,0.0015863,0.00342028,0.00342028,3.3634826404000005e-06,0.00654303,0.00654303,0.00654303,0.00654303,0.00654303,0.0
