txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
69eb11e70e584fd9c95222ac3db57490b6b093b9256f90d690a467f851fe867a,2021-07-06 06:31:33,0,0.00439772,,1.7559999999999798e-05,1,2,2.0,3,0.00807385,0.00807385,0.00807385,0.00807385,0.00807385,0.0,0.00805629,0.00439772,0.00365857,0.004028145,0.004028145,1.3658568062500002e-07
6b0be0fadc0ec754c55f15c85aea86f379a70a394cc79aabfc2f889e3705f929,2021-07-08 20:00:12,0.00439772,0,221319.0,0.0001589,1,2,2.0,3,0.00439772,0.00439772,0.00439772,0.00439772,0.00439772,0.0,0.00423882,0.00349672,0.0007421,0.00211941,0.00211941,1.8969828361000003e-06
80c5da5e0b43c1050f68d01366ba1dc4a2bbdd0a981de0d5b5f446f471589cca,2021-07-14 06:27:10,0,0.01476964,469618.0,0.0019239999999998147,2,50,25.0,52,4.59431719,3.51585265,1.07846454,2.297158595,2.297158595,1.4852151996923428,4.59239319,2.34308929,0.00057,0.013993325000000001,0.0918478638,0.11051855795425868
dac1743ffe7a6025c9bcffb3bb0117a3bc7d4232b19a8c270f3a65305b6e1c08,2021-07-22 02:58:46,0.01476964,0,678696.0,0.0002510900000000007,2,1,0.5,3,0.01508143,0.01476964,0.00031179,0.007540715,0.007540715,5.2257356655625e-05,0.01483034,0.01483034,0.01483034,0.01483034,0.01483034,0.0
ad22e7d490353f055f3bb0dc4befa4f1ad4d2ae46cb79ffdbc0f3eb3e749dd4e,2021-09-10 02:05:51,0,0.01016575,4316825.0,0.002326999999999302,2,63,31.5,65,14.38587071,13.22968432,1.15618639,7.192935355,7.192935355,36.442338066428576,14.383543710000001,6.0025,0.0005,0.009821,0.22831021761904763,0.6620456533246537
445c65c6740b32670f4ed38688d8388153466d6f57239f802abcd0ed0a3e1dc5,2021-09-10 21:10:03,0.01016575,0,68652.0,0.0002601999999999986,2,1,0.5,3,0.02195155,0.0117858,0.01016575,0.010975775,0.010975775,6.561405006250011e-07,0.02169135,0.02169135,0.02169135,0.02169135,0.02169135,0.0
fccda6fc6334086f90d8f7fd97c008b0169d338a6562eba2ef6cf289b104e60b,2021-10-17 02:14:10,0,0.0077717,3128647.0,0.0019689999999998875,1,56,56.0,57,5.12578505,5.12578505,5.12578505,5.12578505,5.12578505,0.0,5.12381605,3.29416126,0.0005,0.009690435,0.09149671517857143,0.19252184769750277
dfae3f06b60bdd5577a4254834d50a9e7084853cd74774bde18bb6c255206e4a,2021-10-19 23:51:48,0.0077717,0,250658.0,0.0004718000000000014,4,2,0.5,6,0.03149635,0.00810126,0.0076,0.007897545,0.0078740875,3.9876434768750075e-08,0.031024549999999998,0.0238759,0.00714865,0.015512274999999999,0.015512274999999999,6.995022314062499e-05
47469e673664ea183a29fdfcbd817010806cdbd12747999f3230e197c1eb3b45,2021-11-16 04:30:04,0,0.00731041,2349496.0,0.0025010000000005306,2,68,34.0,70,12.152459630000001,10.89774006,1.25471957,6.0762298150000005,6.0762298150000005,23.246961042639963,12.14995863,10,0.0005,0.0059207949999999995,0.17867586220588236,1.4549086680013719
90a7257619206f22a4e7db2469e9415f25e78f89cc6b7d482ba734b8eb3743ac,2021-11-17 04:16:11,0.00731041,0,85567.0,0.0002632000000000016,2,2,1.0,4,0.02363128,0.01632087,0.00731041,0.01181564,0.01181564,2.0297097352900005e-05,0.02336808,0.02325371,0.00011437,0.01168404,0.01168404,0.0001338572639089
a703323bec6fb429dc7a4d17071287a4d033873ad0ccd3fecbd108803787f7bc,2021-12-10 05:36:01,0,0.00997965,1991990.0,8.607999999998839e-05,1,27,27.0,28,2.13577149,2.13577149,2.13577149,2.13577149,2.13577149,0.0,2.1356854100000002,0.6995,0.0005,0.00997965,0.07909945962962964,0.031074600501974435
