txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
a7c788f2fd2ca9f17ba29eeef139728087fabb1f5cc6ec149b60b603f4212cf9,2022-10-09 13:26:09,0.00492525,0,,0.00029462999999999885,2,1,0.5,3,0.00786083,0.00492525,0.00293558,0.003930415,0.003930415,9.896966772249998e-07,0.0075662,0.0075662,0.0075662,0.0075662,0.0075662,0.0
a7dff2d8216605452d4680cfa485b1f1a5dab2b6114753980bf64732452846f1,2022-10-11 22:37:50,0.00485364,0,205901.0,0.00018159999999999964,1,2,2.0,3,0.00485364,0.00485364,0.00485364,0.00485364,0.00485364,0.0,0.004672040000000001,0.004406,0.00026604,0.0023360200000000003,0.0023360200000000003,4.284817200400001e-06
f29c25656a63b69aab2267ce0f40a510081f5b1e1a504ba5370b6ebcea43431a,2022-10-26 09:33:35,0,0.00496564,1248945.0,0.0005590500000005605,1,60,60.0,61,3.16680056,3.16680056,3.16680056,3.16680056,3.16680056,0.0,3.1662415099999994,1.66332486,0.00012007,0.00280228,0.052770691833333334,0.05092018278701837
f3a266f997fac8c36904be65360ea9c2d991f3933555840d63c500e9e15c3042,2022-10-27 04:05:38,0.00496564,0,66723.0,0.00028728999999999994,2,1,0.5,3,0.00541989,0.00496564,0.00045425,0.002709945,0.002709945,5.088159933025001e-06,0.0051326,0.0051326,0.0051326,0.0051326,0.0051326,0.0
dec87102fe825104abfc6e6b8b5c9e2a71826a392a5cb2043aa775fcfad18c65,2022-11-02 09:52:24,0,0.00487403,539206.0,0.0002121400000030249,1,51,51.0,52,7.35442105,7.35442105,7.35442105,7.35442105,7.35442105,0.0,7.354208909999997,6.44286508,0.00036975,0.00371894,0.14420017470588234,0.7970248068906712
7208009f04e01614bddc7473268fc6217972a0a828d6f61f7978e9c17d0cb722,2022-11-02 22:57:16,0.00487403,0,47092.0,0.00018159999999999964,1,2,2.0,3,0.00487403,0.00487403,0.00487403,0.00487403,0.00487403,0.0,0.00469243,0.00287788,0.00181455,0.002346215,0.002346215,2.8266767222500006e-07
8d62f94a7a564b5fa1f050d94fb0ca2ca38e4566e3af7f97e9b640168e5ddda0,2022-11-08 11:25:20,0,0.00487283,476884.0,0.00043816999999996,1,57,57.0,58,0.45311035,0.45311035,0.45311035,0.45311035,0.45311035,0.0,0.45267218000000004,0.07796528,0.00014616,0.00264787,0.007941617192982454,0.00018904409770950794
e9fffa4b001cc12f366aef68243d388c9f2b7da2cb2b26b04d53decb6d18fd5e,2022-11-09 05:27:19,0,0.01091791,64919.0,0.0003480799999997508,1,60,60.0,61,3,3,3,3.0,3.0,0.0,2.9996519200000002,1,0.00010968,0.004333885,0.04999419866666667,0.024629953942887098
363369bf4b1d7a8cd21214c4914d0ee340a051128294f39c627da6aabb77c0e5,2022-11-09 17:36:16,0.01091791,0,43737.0,0.00029237999999999834,2,1,0.5,3,0.02798632,0.01706841,0.01091791,0.01399316,0.01399316,9.457162562499999e-06,0.02769394,0.02769394,0.02769394,0.02769394,0.02769394,0.0
86a3c929b22c8e4440824a0ffb3d3b4dd73536814428dc9dc6219903c92224d9,2022-11-10 01:55:29,0.00487283,0,29953.0,0.00018159999999999964,1,2,2.0,3,0.00487283,0.00487283,0.00487283,0.00487283,0.00487283,0.0,0.00469123,0.0036,0.00109123,0.002345615,0.002345615,1.5734817282249997e-06
297dc3a2df6dbc21a9cf7247fb6754dda7a57205153f44508c04cac343250168,2022-11-23 11:26:23,0,0.01093304,1157454.0,0.0006487900000005098,1,65,65.0,66,6.85733438,6.85733438,6.85733438,6.85733438,6.85733438,0.0,6.85668559,1.97995511,0.00017889,0.00577219,0.1054874706153846,0.08867458265052541
ae0cfdf5f168673da0e1acae49f440c3519a94ce2132ac1f68d34123464a3040,2022-11-28 03:35:30,0.01093304,0,403747.0,0.00018159999999999878,1,2,2.0,3,0.01093304,0.01093304,0.01093304,0.01093304,0.01093304,0.0,0.010751440000000001,0.01042666,0.00032478,0.0053757200000000005,0.0053757200000000005,2.5511994883600003e-05
44a84b57efad797a099249cc0027379d718b4a788f4012370549e18c83411af3,2022-12-20 12:39:19,0,0.01197595,1933429.0,0.0002270600000002787,1,43,43.0,44,3,3,3,3.0,3.0,0.0,2.9997729399999997,1,0.0005,0.00570794,0.06976216139534883,0.04820253400342853
030d3a1ee32002f6bdf6ad884b79f00d495d643d986b7bdf311cea5e0d73a9f2,2022-12-26 12:29:37,0.01197595,0,517818.0,0.0002815500000000002,2,1,0.5,3,0.01494952,0.01197595,0.00297357,0.00747476,0.00747476,2.0260711416100003e-05,0.01466797,0.01466797,0.01466797,0.01466797,0.01466797,0.0
51ec4776845e68d68a9516b96a5f8b48b890b8bf9112aa60cde6978a15f478f7,2023-01-16 12:22:31,0,0.0094781,1813974.0,2.1319999999880324e-05,1,38,38.0,39,1,1,1,1.0,1.0,0.0,0.9999786800000001,0.47394275,0.00010876,0.002070045,0.026315228421052633,0.00854890863929585
3fce71c7157e26215e77f9f18c43b81135a75967a3a5cc7ad4ff2066cfc247b7,2023-01-17 00:38:00,0,0.00714512,44129.0,9.150000000057723e-05,1,53,53.0,54,1.65401,1.65401,1.65401,1.65401,1.65401,0.0,1.6539184999999994,1.00958004,0.00012426,0.00318633,0.03120600943396226,0.019092514136618537
2a1100b7c6f5794e817ec0f1faba17f69a31370c19635be70621dd533049abad,2023-01-17 10:55:24,0.00714512,0,37044.0,0.0002930599999999995,2,1,0.5,3,0.00813071,0.00714512,0.00098559,0.004065355,0.004065355,9.484952455225e-06,0.00783765,0.00783765,0.00783765,0.00783765,0.00783765,0.0
e44bbfee21f3c614ded7a6810b3a61887381acb8808cbe23b64b8e2fd8980fde,2023-01-19 02:00:40,0.0094781,0,140716.0,0.0002855400000000008,2,1,0.5,3,0.0096328,0.0094781,0.0001547,0.0048164,0.0048164,2.173144689e-05,0.00934726,0.00934726,0.00934726,0.00934726,0.00934726,0.0
cb82d5715175f16719f4c604f99454d2388b354297acb3c9d6c677130a16e014,2023-01-19 11:37:38,0,0.00722053,34618.0,0.00016332000000041091,1,33,33.0,34,6.9998,6.9998,6.9998,6.9998,6.9998,0.0,6.999636679999999,6.51212789,0.0001,0.00446562,0.21211020242424242,1.2414805373059727
be1180d9a8fcf2a2a3c244c932fe8e342274da46f9f035423521eb50ff54f7c4,2023-01-23 16:07:42,0.00722053,0,361804.0,0.0002986599999999992,2,1,0.5,3,0.06156147,0.05434094,0.00722053,0.030780735,0.030780735,0.000555083259642025,0.06126281,0.06126281,0.06126281,0.06126281,0.06126281,0.0
e6f60bda18ef3b98d24b20f89f57079ceb672f9b7f2297c07e469efe4e8e3a16,2023-01-28 11:50:53,0,0.00866177,416591.0,0.0003033000000000341,1,46,46.0,47,0.22693267,0.22693267,0.22693267,0.22693267,0.22693267,0.0,0.22662936999999997,0.02165644,0.00012988,0.003376155,0.004926725434782608,2.1684128784811768e-05
f35477a22869ebcda839178c0ce7584f9df2c922c4dd7a24326e1abf2a592904,2023-01-28 20:47:11,0.00866177,0,32178.0,0.00027797999999999885,2,1,0.5,3,0.00893135,0.00866177,0.00026958,0.004465675,0.004465675,1.7607213249024995e-05,0.00865337,0.00865337,0.00865337,0.00865337,0.00865337,0.0
2161cdad52225644195279f49bb66214f8001fbe5fed838628d06faf821563b4,2023-02-02 11:50:17,0,0.00417756,399786.0,0.00024901000000004947,1,43,43.0,44,0.29071,0.29071,0.29071,0.29071,0.29071,0.0,0.29046099,0.04607643,0.00033421,0.00418069,0.006754906744186046,8.132041013184521e-05
07ed6f88c38f3b05b1341e35bf9d0310abca54b5d0c773ec95b5c0a96843ecc2,2023-02-05 04:57:21,0.00417756,0,234424.0,0.0001816000000000005,1,2,2.0,3,0.00417756,0.00417756,0.00417756,0.00417756,0.00417756,0.0,0.00399596,0.00322188,0.00077408,0.00199798,0.00199798,1.49793121e-06
4dd17b8cd47b2849db23f78a38b1bdc895f3d31e4b0a7c1130f0af5fe1f7ac61,2023-02-14 11:51:59,0,0.00460154,802478.0,0.00023152999999975776,1,47,47.0,48,3.64217962,3.64217962,3.64217962,3.64217962,3.64217962,0.0,3.64194809,2.44919569,0.00020007,0.00217865,0.07748825723404255,0.14336715348938492
5807ddd0daa3f0e3138a1e579e926421e024dc8c4a3b03e98170bd664fb59a67,2023-02-15 23:17:16,0.00460154,0,127517.0,0.0001816000000000005,1,2,2.0,3,0.00460154,0.00460154,0.00460154,0.00460154,0.00460154,0.0,0.00441994,0.00297977,0.00144017,0.00220997,0.00220997,5.925920400000002e-07
257e0718b93e88a8811748332503c9410b4596a03739cded81e3f8f837de6357,2023-03-02 11:48:52,0,0.00638338,1254696.0,0.00028833999999999804,1,46,46.0,47,1.4,1.4,1.4,1.4,1.4,0.0,1.39971166,0.73113926,0.00032012,0.0035283199999999997,0.03042851434782608,0.01460041271285305
a7f6a5d44b3e769692eb5b25f3bc55e189271bafa419d2de79f40290bcf8db41,2023-03-04 20:18:00,0.00638338,0,203348.0,0.0002949099999999989,2,1,0.5,3,0.01640908,0.0100257,0.00638338,0.00820454,0.00820454,3.3166237456000002e-06,0.01611417,0.01611417,0.01611417,0.01611417,0.01611417,0.0
d245b333f437be397c9ac284d2585fc287f5d3a6a3cc45642cd247e656797db4,2023-03-20 02:53:17,0,0.00550438,1319717.0,0.0005335599999991558,1,60,60.0,61,9.14281415,9.14281415,9.14281415,9.14281415,9.14281415,0.0,9.14228059,8.69947167,0.00017774,0.00213747,0.1523713431666667,1.238319785011989
