txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
69fd054751c8b7d716bd0b8d409adac459e20828ad7d0ec4371967c631db3e12,2019-12-21 01:15:02,0,0.01,,3.320000000000059e-05,1,2,2.0,3,0.01129523,0.01129523,0.01129523,0.01129523,0.01129523,0.0,0.01126203,0.01,0.00126203,0.005631015,0.005631015,1.9088029930225003e-05
d4ee13fa5c49ccb232dc5e658f2f864b678033f04d7f81dac050cf582b950c41,2019-12-23 21:52:37,0.01,0.0054,247055.0,9.08100000000002e-05,1,2,2.0,3,0.01,0.01,0.01,0.01,0.01,0.0,0.00990919,0.0054,0.00450919,0.004954595,0.004954595,1.9838561402500025e-07
3c14a52fab6b996a33283084ee9b63c2ddbaa8f7b607db15d1a3bf0517792117,2019-12-24 04:02:43,0,0.00018,22206.0,9.079999999999982e-05,1,2,2.0,3,0.00240619,0.00240619,0.00240619,0.00240619,0.00240619,0.0,0.00231539,0.00213539,0.00018,0.001157695,0.001157695,9.55887513025e-07
b34d5cffcc2c32eab3d8700a4f9005d23a2d5b91644b168fedbdfc51b10bd7cf,2019-12-27 23:38:42,0.0054,0,329759.0,0.00015040000000000019,2,2,1.0,4,0.0082,0.0054,0.0028,0.0041,0.0041,1.6900000000000003e-06,0.0080496,0.0075,0.0005496,0.0040248,0.0040248,1.207701504e-05
e032740a25213113699d1eec603b9206db85fd7d2e63fc79f16b78b09ddb9210,2020-01-07 02:36:17,0,0.005,874655.0,9.08100000000002e-05,1,2,2.0,3,0.0075,0.0075,0.0075,0.0075,0.0075,0.0,0.0074091899999999995,0.005,0.00240919,0.0037045949999999998,0.0037045949999999998,1.6780741140250002e-06
02689e1290b87bf1e14c8e00b574dc0c92614390fed73cb8ae5af1b5d4f82aa0,2020-01-07 02:42:35,0.00018,0.0001,378.0,8e-05,1,1,1.0,2,0.00018,0.00018,0.00018,0.00018,0.00018,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
dfd5667db759dd2321f26b31da715c8b31fe69d790771fcc05ddbce00ecce1c1,2020-01-07 02:42:35,0,0.002,0.0,0.00013539,1,1,1.0,2,0.00213539,0.00213539,0.00213539,0.00213539,0.00213539,0.0,0.002,0.002,0.002,0.002,0.002,0.0
0252f1b57c491d042f9f13d1fceb0b5bdbf44e2dea0ed04f580163e45ebe099a,2020-01-29 00:25:06,0,0.0001,1892551.0,9.080000000000004e-05,1,2,2.0,3,0.0005496,0.0005496,0.0005496,0.0005496,0.0005496,0.0,0.0004588,0.0003588,0.0001,0.0002294,0.0002294,1.674436e-08
374d6b9ad466be912e0813c0d9e5934a3b28d9c74f43ca89b30b715ed17a2188,2020-01-29 00:41:07,0.002,0.0001,961.0,9.080000000000004e-05,1,2,2.0,3,0.002,0.002,0.002,0.002,0.002,0.0,0.0019092,0.0018092,0.0001,0.0009546,0.0009546,7.303411599999999e-07
3fe6cb5b3938f0a9a397aac518a6856481b88169aa21c5982d9987a4069de1eb,2020-01-29 00:55:55,0,0.0001,888.0,9.079999999999982e-05,1,2,2.0,3,0.00240919,0.00240919,0.00240919,0.00240919,0.00240919,0.0,0.00231839,0.00221839,0.0001,0.001159195,0.001159195,1.1218940480250002e-06
